Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 00:59:46 |  0  |     405     |     240     |      0      |     12      |        2        |      18       |       0       |       0       |        2        |       4        |       0        |      131       |        0        |        0        |      0      |      0      |    1890     |
| 00:59:47 |  0  |     720     |     524     |      0      |     36      |        0        |      38       |       0       |       2       |        0        |       3        |       0        |      117       |        0        |        0        |      0      |      0      |    1680     |
| 00:59:48 |  0  |     380     |     216     |      0      |      8      |        0        |      14       |       0       |       2       |        0        |       8        |       0        |      132       |        0        |        0        |      0      |      0      |    1960     |
| 00:59:49 |  0  |     349     |     195     |      0      |     15      |        0        |      14       |       0       |       1       |        0        |       5        |       0        |      119       |        0        |        0        |      0      |      0      |    1736     |
| 00:59:50 |  0  |     412     |     242     |      0      |     16      |        2        |      19       |       0       |       0       |        1        |       3        |       0        |      132       |        0        |        0        |      0      |      0      |    1890     |
| 00:59:51 |  0  |     191     |     53      |      0      |      3      |        0        |       4       |       0       |       0       |        0        |       5        |       0        |      126       |        0        |        0        |      0      |      0      |    1834     |
| 00:59:52 |  0  |     165     |     38      |      0      |      4      |        0        |       3       |       0       |       0       |        0        |       3        |       0        |      117       |        0        |        0        |      0      |      0      |    1680     |
| 00:59:53 |  0  |     337     |     184     |      0      |     14      |        2        |      15       |       0       |       0       |        1        |       1        |       0        |      123       |        0        |        0        |      0      |      0      |    1736     |
| 00:59:54 |  0  |     393     |     233     |      0      |     13      |        0        |      16       |       0       |       1       |        0        |       7        |       0        |      123       |        0        |        0        |      0      |      0      |    1820     |
| 00:59:55 |  0  |     121     |      0      |      0      |      0      |        0        |       0       |       0       |       0       |        0        |       2        |       0        |      119       |        0        |        0        |      0      |      0      |    1694     |
| 00:59:56 |  0  |     209     |     67      |      0      |      3      |        0        |       5       |       0       |       0       |        0        |       4        |       0        |      130       |        0        |        0        |      0      |      0      |    1876     |
| 00:59:57 |  0  |     248     |     117     |      0      |      9      |        0        |       9       |       0       |       0       |        0        |       5        |       0        |      108       |        0        |        0        |      0      |      0      |    1582     |
| 00:59:58 |  0  |     261     |     123     |      0      |      3      |        0        |       9       |       0       |       0       |        0        |       2        |       0        |      124       |        0        |        0        |      0      |      0      |    1764     |
| 00:59:59 |  0  |     629     |     440     |      0      |     21      |        5        |      34       |       0       |       0       |        3        |       5        |       0        |      129       |        0        |        0        |      0      |      0      |    1876     |
| 01:00:00 |  0  |     733     |     523     |      0      |     44      |        1        |      39       |       0       |       2       |        0        |       4        |       0        |      121       |        0        |        0        |      0      |      0      |    1750     |
| 01:00:01 |  0  |     516     |     345     |      0      |     19      |        0        |      25       |       0       |       1       |        0        |       7        |       0        |      119       |        0        |        0        |      0      |      0      |    1764     |
| 01:00:02 |  0  |     113     |      0      |      0      |      0      |        0        |       0       |       0       |       0       |        0        |       2        |       0        |      111       |        0        |        0        |      0      |      0      |    1582     |
| 01:00:03 |  0  |     271     |     115     |      0      |     11      |        0        |       8       |       0       |       1       |        0        |       5        |       0        |      131       |        0        |        0        |      0      |      0      |    1904     |
| 01:00:04 |  0  |     128     |      0      |      0      |      0      |        0        |       0       |       0       |       0       |        0        |       2        |       0        |      126       |        0        |        0        |      0      |      0      |    1792     |
| 01:00:05 |  0  |     172     |     51      |      0      |      5      |        0        |       3       |       0       |       1       |        0        |       4        |       0        |      108       |        0        |        0        |      0      |      0      |    1568     |
