Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 02:13:18 |  0  |    1089     |     874     |      0      |      0      |        4        |      63       |       0       |       0       |        2        |       13       |       1        |      138       |        0        |        0        |      0      |      0      |    2128     |
| 02:13:19 |  0  |     770     |     616     |      0      |      0      |        5        |      45       |       0       |       0       |        2        |       12       |       0        |       97       |        0        |        0        |      0      |      0      |    1526     |
| 02:13:20 |  0  |     574     |     433     |      0      |      1      |        5        |      31       |       0       |       0       |        3        |       0        |       0        |      109       |        0        |        0        |      0      |      0      |    1526     |
| 02:13:21 |  0  |     458     |     322     |      0      |      0      |        5        |      23       |       0       |       0       |        3        |       7        |       0        |      106       |        0        |        0        |      0      |      0      |    1582     |
| 02:13:22 |  0  |     837     |     675     |      0      |      0      |        6        |      48       |       0       |       0       |        4        |       7        |       0        |      107       |        0        |        0        |      0      |      0      |    1596     |
| 02:13:23 |  0  |     520     |     406     |      0      |      0      |        2        |      30       |       0       |       0       |        1        |       4        |       0        |       80       |        0        |        0        |      0      |      0      |    1176     |
| 02:13:24 |  0  |     606     |     448     |      0      |      0      |        2        |      32       |       0       |       0       |        2        |       7        |       0        |      119       |        0        |        0        |      0      |      0      |    1764     |
| 02:13:25 |  0  |     821     |     672     |      0      |      0      |        2        |      48       |       0       |       0       |        2        |       1        |       0        |      100       |        0        |        0        |      0      |      0      |    1414     |
| 02:13:26 |  0  |     914     |     745     |      0      |      0      |        7        |      54       |       0       |       0       |        6        |       10       |       0        |      105       |        0        |        0        |      0      |      0      |    1610     |
| 02:13:27 |  0  |     598     |     452     |      0      |      0      |        7        |      34       |       0       |       0       |        3        |       4        |       0        |      108       |        0        |        0        |      0      |      0      |    1568     |
| 02:13:28 |  0  |     383     |     252     |      0      |      0      |        2        |      18       |       0       |       0       |        0        |       5        |       0        |      108       |        0        |        0        |      0      |      0      |    1582     |
| 02:13:29 |  0  |     454     |     328     |      0      |      0      |        1        |      24       |       0       |       0       |        0        |       2        |       0        |      100       |        0        |        0        |      0      |      0      |    1428     |
| 02:13:30 |  0  |     981     |     825     |      0      |      1      |        4        |      60       |       0       |       0       |        3        |       4        |       0        |       91       |        0        |        0        |      0      |      0      |    1330     |
| 02:13:31 |  0  |     802     |     646     |      0      |      1      |        8        |      48       |       0       |       0       |        4        |       1        |       0        |      106       |        0        |        0        |      0      |      0      |    1498     |
| 02:13:32 |  0  |     539     |     394     |      0      |      9      |        3        |      28       |       0       |       0       |        2        |       5        |       0        |      103       |        0        |        0        |      0      |      0      |    1512     |
| 02:13:33 |  0  |    1044     |     868     |      0      |      0      |        6        |      62       |       0       |       0       |        4        |       4        |       0        |      110       |        0        |        0        |      0      |      0      |    1596     |
| 02:13:34 |  0  |     821     |     694     |      0      |      1      |        6        |      51       |       0       |       0       |        0        |       2        |       0        |       73       |        0        |        0        |      0      |      0      |    1050     |
| 02:13:35 |  0  |     718     |     574     |      0      |      0      |        1        |      41       |       0       |       0       |        1        |       4        |       0        |       99       |        0        |        0        |      0      |      0      |    1442     |
| 02:13:36 |  0  |     879     |     713     |      0      |      1      |        3        |      52       |       0       |       0       |        2        |       2        |       0        |      111       |        0        |        0        |      0      |      0      |    1582     |
| 02:13:37 |  0  |     645     |     497     |      0      |      0      |        7        |      38       |       0       |       0       |        1        |       11       |       0        |       99       |        0        |        0        |      0      |      0      |    1540     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 02:13:38 |  0  |     411     |     265     |      0      |      1      |        5        |      19       |       0       |       0       |        3        |       5        |       0        |      121       |        0        |        0        |      0      |      0      |    1764     |
| 02:13:39 |  0  |     637     |     481     |      0      |      0      |        8        |      36       |       0       |       0       |        4        |       4        |       0        |      116       |        0        |        0        |      0      |      0      |    1680     |
| 02:13:40 |  0  |     524     |     406     |      0      |      0      |        1        |      29       |       0       |       0       |        1        |       1        |       0        |       88       |        0        |        0        |      0      |      0      |    1232     |
| 02:13:41 |  0  |     443     |     322     |      0      |      0      |        7        |      23       |       0       |       0       |        5        |       0        |       0        |       98       |        0        |        0        |      0      |      0      |    1386     |
| 02:13:42 |  0  |     748     |     601     |      0      |      1      |        2        |      43       |       0       |       0       |        2        |       1        |       0        |      102       |        0        |        0        |      0      |      0      |    1442     |
| 02:13:43 |  0  |    1006     |     839     |      0      |      0      |       10        |      62       |       0       |       0       |        5        |       4        |       0        |      101       |        0        |        0        |      0      |      0      |    1470     |
| 02:13:44 |  0  |     964     |     805     |      0      |      2      |       11        |      58       |       0       |       0       |        9        |       4        |       0        |       95       |        0        |        0        |      0      |      0      |    1386     |
