Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 16:49:29 |  0  |     774     |     537     |      0      |     31      |        7        |      39       |       0       |       3       |        5        |       5        |       0        |      159       |        0        |        0        |      0      |      0      |    2296     |
| 16:49:30 |  0  |     615     |     425     |      0      |     21      |        3        |      31       |       0       |       2       |        1        |       6        |       0        |      130       |        0        |        0        |      0      |      0      |    1904     |
| 16:49:31 |  0  |     342     |     196     |      0      |     14      |        1        |      15       |       0       |       0       |        1        |       1        |       0        |      116       |        0        |        0        |      0      |      0      |    1638     |
| 16:49:32 |  0  |     451     |     303     |      0      |     19      |        2        |      20       |       0       |       3       |        2        |       2        |       0        |      104       |        0        |        0        |      0      |      0      |    1484     |
| 16:49:33 |  0  |     492     |     312     |      0      |     24      |        1        |      20       |       0       |       4       |        1        |       1        |       0        |      131       |        0        |        0        |      0      |      0      |    1848     |
| 16:49:34 |  0  |     684     |     479     |      0      |     33      |        3        |      37       |       0       |       1       |        2        |       1        |       0        |      133       |        0        |        0        |      0      |      0      |    1876     |
| 16:49:35 |  0  |     543     |     369     |      0      |     20      |        4        |      26       |       0       |       1       |        4        |       2        |       0        |      125       |        0        |        0        |      0      |      0      |    1778     |
| 16:49:36 |  0  |     334     |     181     |      0      |     15      |        0        |      13       |       0       |       1       |        0        |       2        |       0        |      122       |        0        |        0        |      0      |      0      |    1736     |
| 16:49:37 |  0  |     320     |     172     |      0      |     10      |        0        |      12       |       0       |       1       |        0        |       4        |       0        |      121       |        0        |        0        |      0      |      0      |    1750     |
| 16:49:38 |  0  |     280     |     148     |      0      |      6      |        0        |       8       |       0       |       3       |        0        |       1        |       0        |      114       |        0        |        0        |      0      |      0      |    1610     |
| 16:49:39 |  0  |     393     |     248     |      0      |     18      |        3        |      18       |       0       |       1       |        3        |       0        |       0        |      108       |        0        |        0        |      0      |      0      |    1512     |
| 16:49:40 |  0  |     411     |     258     |      0      |     22      |        2        |      18       |       0       |       2       |        2        |       1        |       0        |      110       |        0        |        0        |      0      |      0      |    1554     |
| 16:49:41 |  0  |     361     |     222     |      0      |     14      |        1        |      14       |       0       |       3       |        1        |       1        |       0        |      107       |        0        |        0        |      0      |      0      |    1512     |
| 16:49:42 |  0  |     297     |     176     |      0      |     11      |        4        |      12       |       0       |       2       |        3        |       0        |       0        |       96       |        0        |        0        |      0      |      0      |    1330     |
| 16:49:43 |  0  |     422     |     259     |      0      |     21      |        2        |      16       |       0       |       4       |        2        |       1        |       0        |      121       |        0        |        0        |      0      |      0      |    1722     |
| 16:49:44 |  0  |     267     |     149     |      0      |      5      |        1        |      11       |       0       |       0       |        1        |       4        |       0        |       98       |        0        |        0        |      0      |      0      |    1428     |
| 16:49:45 |  0  |     367     |     229     |      0      |      9      |        1        |      17       |       0       |       0       |        1        |       2        |       0        |      110       |        0        |        0        |      0      |      0      |    1568     |
| 16:49:46 |  0  |     156     |     27      |      0      |      1      |        0        |       2       |       0       |       0       |        0        |       2        |       0        |      124       |        0        |        0        |      0      |      0      |    1764     |
| 16:49:47 |  0  |     631     |     439     |      0      |     37      |        3        |      30       |       0       |       4       |        3        |       6        |       0        |      115       |        0        |        0        |      0      |      0      |    1694     |
| 16:49:48 |  0  |     473     |     298     |      0      |     24      |        0        |      22       |       0       |       1       |        0        |       6        |       0        |      122       |        0        |        0        |      0      |      0      |    1792     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 16:49:49 |  0  |     415     |     241     |      0      |     25      |        2        |      19       |       0       |       0       |        2        |       3        |       0        |      127       |        0        |        0        |      0      |      0      |    1820     |
| 16:49:50 |  0  |     404     |     257     |      0      |     14      |        2        |      17       |       0       |       2       |        2        |       1        |       0        |      113       |        0        |        0        |      0      |      0      |    1596     |
| 16:49:51 |  0  |     586     |     430     |      0      |     26      |        3        |      27       |       0       |       6       |        2        |       1        |       0        |       96       |        0        |        0        |      0      |      0      |    1358     |
| 16:49:52 |  0  |     570     |     383     |      0      |     23      |        3        |      26       |       0       |       3       |        3        |       2        |       0        |      133       |        0        |        0        |      0      |      0      |    1890     |
| 16:49:53 |  0  |     617     |     438     |      0      |     20      |        6        |      31       |       0       |       2       |        4        |       0        |       0        |      126       |        0        |        0        |      0      |      0      |    1764     |
| 16:49:54 |  0  |     916     |     691     |      0      |     38      |        8        |      51       |       0       |       3       |        6        |       2        |       0        |      131       |        0        |        0        |      0      |      0      |    1862     |
| 16:49:55 |  0  |     400     |     256     |      0      |     10      |        0        |      17       |       0       |       2       |        0        |       6        |       0        |      109       |        0        |        0        |      0      |      0      |    1610     |
| 16:49:56 |  0  |     588     |     454     |      0      |     18      |        1        |      32       |       0       |       2       |        0        |       4        |       0        |       78       |        0        |        0        |      0      |      0      |    1148     |
| 16:49:57 |  0  |     334     |     199     |      0      |     11      |        0        |      14       |       0       |       1       |        0        |       2        |       0        |      107       |        0        |        0        |      0      |      0      |    1526     |
| 16:49:58 |  0  |     542     |     377     |      0      |     20      |        5        |      29       |       0       |       0       |        4        |       4        |       0        |      112       |        0        |        0        |      0      |      0      |    1624     |
| 16:49:59 |  0  |     394     |     241     |      0      |     12      |        3        |      19       |       0       |       0       |        2        |       7        |       0        |      115       |        0        |        0        |      0      |      0      |    1708     |
| 16:50:00 |  0  |     311     |     158     |      0      |     10      |        1        |      12       |       0       |       0       |        1        |       9        |       0        |      122       |        0        |        0        |      0      |      0      |    1834     |
| 16:50:01 |  0  |     405     |     268     |      0      |     12      |        1        |      20       |       0       |       0       |        1        |       4        |       0        |      101       |        0        |        0        |      0      |      0      |    1470     |
| 16:50:02 |  0  |     295     |     163     |      0      |     12      |        1        |      11       |       0       |       2       |        0        |       2        |       0        |      105       |        0        |        0        |      0      |      0      |    1498     |
| 16:50:03 |  0  |     511     |     356     |      0      |     23      |        2        |      27       |       0       |       1       |        1        |       2        |       0        |      102       |        0        |        0        |      0      |      0      |    1442     |
| 16:50:04 |  0  |     689     |     486     |      0      |     39      |        1        |      36       |       0       |       2       |        0        |       1        |       0        |      125       |        0        |        0        |      0      |      0      |    1764     |
| 16:50:05 |  0  |     648     |     451     |      0      |     25      |        1        |      27       |       0       |       7       |        1        |       6        |       0        |      132       |        0        |        0        |      0      |      0      |    1946     |
| 16:50:06 |  0  |     286     |     173     |      0      |      9      |        0        |      13       |       0       |       0       |        0        |       2        |       0        |       89       |        0        |        0        |      0      |      0      |    1274     |
| 16:50:07 |  0  |     522     |     363     |      0      |     15      |        1        |      26       |       0       |       1       |        1        |       4        |       0        |      113       |        0        |        0        |      0      |      0      |    1638     |
| 16:50:08 |  0  |     267     |     141     |      0      |     13      |        1        |      11       |       0       |       0       |        1        |       2        |       0        |      100       |        0        |        0        |      0      |      0      |    1428     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 16:50:09 |  0  |     750     |     551     |      0      |     37      |        2        |      38       |       0       |       4       |        2        |       0        |       0        |      120       |        0        |        0        |      0      |      0      |    1680     |
| 16:50:10 |  0  |     274     |     145     |      0      |      9      |        0        |      10       |       0       |       1       |        0        |       1        |       0        |      108       |        0        |        0        |      0      |      0      |    1526     |
| 16:50:11 |  0  |     628     |     434     |      0      |     35      |        3        |      32       |       0       |       1       |        2        |       3        |       0        |      123       |        0        |        0        |      0      |      0      |    1764     |
| 16:50:12 |  0  |     410     |     246     |      0      |     20      |        2        |      19       |       0       |       0       |        2        |       5        |       0        |      120       |        0        |        0        |      0      |      0      |    1750     |
| 16:50:13 |  0  |     384     |     230     |      0      |      8      |        0        |      17       |       0       |       0       |        0        |       5        |       0        |      124       |        0        |        0        |      0      |      0      |    1806     |
| 16:50:14 |  0  |     620     |     440     |      0      |     22      |        1        |      33       |       0       |       0       |        1        |       2        |       0        |      123       |        0        |        0        |      0      |      0      |    1750     |
| 16:50:15 |  0  |     264     |     121     |      0      |      5      |        0        |       8       |       0       |       1       |        0        |       2        |       0        |      127       |        0        |        0        |      0      |      0      |    1806     |
| 16:50:16 |  0  |     515     |     340     |      0      |     24      |        0        |      19       |       0       |       7       |        0        |       3        |       0        |      122       |        0        |        0        |      0      |      0      |    1750     |
| 16:50:17 |  0  |     585     |     401     |      0      |     19      |        1        |      25       |       0       |       5       |        1        |       0        |       0        |      135       |        0        |        0        |      0      |      0      |    1890     |
| 16:50:18 |  0  |     192     |     50      |      0      |      2      |        3        |       3       |       0       |       1       |        2        |       5        |       0        |      131       |        0        |        0        |      0      |      0      |    1904     |
| 16:50:19 |  0  |     365     |     221     |      0      |     17      |        1        |      15       |       0       |       2       |        1        |       3        |       0        |      107       |        0        |        0        |      0      |      0      |    1540     |
| 16:50:20 |  0  |     109     |      0      |      0      |      0      |        0        |       0       |       0       |       0       |        0        |       1        |       0        |      108       |        0        |        0        |      0      |      0      |    1526     |
| 16:50:21 |  0  |     171     |     38      |      0      |      4      |        0        |       3       |       0       |       0       |        0        |       8        |       0        |      118       |        0        |        0        |      0      |      0      |    1764     |
| 16:50:22 |  0  |     288     |     136     |      0      |      9      |        1        |      11       |       0       |       0       |        0        |       4        |       0        |      128       |        0        |        0        |      0      |      0      |    1848     |
| 16:50:23 |  0  |     788     |     571     |      0      |     35      |        7        |      43       |       0       |       2       |        5        |       8        |       0        |      129       |        0        |        0        |      0      |      0      |    1918     |
| 16:50:24 |  0  |     364     |     227     |      0      |     11      |        2        |      17       |       0       |       0       |        2        |       2        |       0        |      107       |        0        |        0        |      0      |      0      |    1526     |
