Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 10:15:27 |  0  |     594     |     445     |      0      |     17      |        2        |      32       |       0       |       1       |        0        |       7        |       0        |       92       |        0        |        0        |      0      |      0      |    1386     |
| 10:15:28 |  0  |     760     |     584     |      0      |      4      |        4        |      42       |       0       |       0       |        4        |       9        |       0        |      121       |        0        |        0        |      0      |      0      |    1820     |
| 10:15:29 |  0  |     761     |     557     |      0      |     17      |        4        |      40       |       0       |       1       |        2        |       10       |       0        |      136       |        0        |        0        |      0      |      0      |    2044     |
| 10:15:30 |  0  |     751     |     588     |      0      |      0      |        3        |      43       |       0       |       1       |        1        |       4        |       0        |      115       |        0        |        0        |      0      |      0      |    1666     |
| 10:15:31 |  0  |     544     |     391     |      0      |      1      |        1        |      29       |       0       |       0       |        1        |       1        |       0        |      122       |        0        |        0        |      0      |      0      |    1722     |
| 10:15:32 |  0  |     887     |     699     |      0      |      1      |        4        |      50       |       0       |       0       |        4        |       1        |       0        |      136       |        0        |        0        |      0      |      0      |    1918     |
| 10:15:33 |  0  |    1100     |     923     |      0      |      1      |        4        |      66       |       0       |       0       |        2        |       5        |       0        |      105       |        0        |        0        |      0      |      0      |    1540     |
| 10:15:34 |  0  |     717     |     540     |      0      |      0      |        4        |      38       |       0       |       0       |        4        |       4        |       0        |      135       |        0        |        0        |      0      |      0      |    1946     |
| 10:15:35 |  0  |     488     |     297     |      0      |     25      |        3        |      20       |       0       |       3       |        3        |       3        |       0        |      140       |        0        |        0        |      0      |      0      |    2002     |
| 10:15:36 |  0  |     580     |     385     |      0      |     19      |        6        |      27       |       0       |       3       |        2        |       3        |       0        |      143       |        0        |        0        |      0      |      0      |    2044     |
| 10:15:37 |  0  |     741     |     582     |      0      |      0      |        5        |      41       |       0       |       1       |        1        |       6        |       0        |      111       |        0        |        0        |      0      |      0      |    1638     |
| 10:15:39 |  0  |     726     |     527     |      0      |      8      |        4        |      39       |       0       |       0       |        3        |       4        |       0        |      148       |        0        |        0        |      0      |      0      |    2128     |
| 10:15:40 |  0  |     769     |     605     |      0      |      9      |        1        |      42       |       0       |       2       |        0        |       6        |       0        |      105       |        0        |        0        |      0      |      0      |    1554     |
| 10:15:41 |  0  |     627     |     495     |      0      |      1      |        4        |      35       |       0       |       1       |        3        |       4        |       0        |       91       |        0        |        0        |      0      |      0      |    1330     |
| 10:15:42 |  0  |     741     |     630     |      0      |      0      |        3        |      44       |       0       |       1       |        3        |       1        |       0        |       65       |        0        |        0        |      0      |      0      |     924     |
| 10:15:43 |  0  |     527     |     391     |      0      |      2      |        8        |      29       |       0       |       0       |        1        |       4        |       0        |      101       |        0        |        0        |      0      |      0      |    1470     |
| 10:15:44 |  0  |     666     |     533     |      0      |      1      |        3        |      39       |       0       |       0       |        0        |       4        |       0        |       89       |        0        |        0        |      0      |      0      |    1302     |
| 10:15:45 |  0  |     376     |     200     |      0      |      6      |        1        |      15       |       0       |       0       |        0        |       2        |       0        |      153       |        0        |        0        |      0      |      0      |    2170     |
| 10:15:46 |  0  |     330     |     194     |      0      |      2      |        2        |      15       |       0       |       0       |        1        |       5        |       0        |      114       |        0        |        0        |      0      |      0      |    1666     |
| 10:15:47 |  0  |     759     |     594     |      0      |      1      |        2        |      41       |       0       |       1       |        2        |       7        |       0        |      115       |        0        |        0        |      0      |      0      |    1708     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 10:15:48 |  0  |     576     |     429     |      0      |      5      |        8        |      33       |       0       |       0       |        3        |       5        |       0        |      104       |        0        |        0        |      0      |      0      |    1526     |
| 10:15:49 |  0  |     183     |     83      |      0      |      1      |        0        |       6       |       0       |       0       |        0        |       2        |       0        |       91       |        0        |        0        |      0      |      0      |    1302     |
| 10:15:50 |  0  |     454     |     289     |      0      |      7      |        2        |      20       |       0       |       2       |        2        |       6        |       0        |      130       |        0        |        0        |      0      |      0      |    1904     |
| 10:15:51 |  0  |     495     |     343     |      0      |      0      |        2        |      24       |       0       |       0       |        1        |       5        |       0        |      123       |        0        |        0        |      0      |      0      |    1792     |
| 10:15:52 |  0  |     780     |     601     |      0      |     23      |        6        |      41       |       0       |       4       |        2        |       3        |       0        |      108       |        0        |        0        |      0      |      0      |    1554     |
| 10:15:53 |  0  |     661     |     528     |      0      |     18      |        3        |      36       |       0       |       2       |        4        |       3        |       0        |       74       |        0        |        0        |      0      |      0      |    1078     |
| 10:15:54 |  0  |     924     |     781     |      0      |      3      |        5        |      55       |       0       |       1       |        3        |       1        |       0        |       83       |        0        |        0        |      0      |      0      |    1176     |
| 10:15:55 |  0  |    1200     |    1010     |      0      |     15      |        7        |      75       |       0       |       0       |        6        |       2        |       0        |       98       |        0        |        0        |      0      |      0      |    1400     |
| 10:15:56 |  0  |     823     |     697     |      0      |      0      |        3        |      48       |       0       |       0       |        3        |       1        |       0        |       77       |        0        |        0        |      0      |      0      |    1092     |
| 10:15:57 |  0  |     624     |     498     |      0      |      3      |        3        |      34       |       0       |       2       |        2        |       0        |       0        |       87       |        0        |        0        |      0      |      0      |    1218     |
| 10:15:58 |  0  |     548     |     439     |      0      |      0      |        4        |      31       |       0       |       1       |        3        |       4        |       0        |       73       |        0        |        0        |      0      |      0      |    1078     |
| 10:15:59 |  0  |     500     |     398     |      0      |      0      |        5        |      30       |       0       |       0       |        3        |       1        |       0        |       71       |        0        |        0        |      0      |      0      |    1008     |
| 10:16:00 |  0  |     417     |     301     |      0      |      0      |        1        |      21       |       0       |       1       |        1        |       5        |       0        |       89       |        0        |        0        |      0      |      0      |    1316     |
| 10:16:01 |  0  |     321     |     221     |      0      |      0      |        2        |      16       |       0       |       0       |        1        |       3        |       0        |       81       |        0        |        0        |      0      |      0      |    1176     |
| 10:16:02 |  0  |     666     |     517     |      0      |      1      |        5        |      38       |       0       |       0       |        2        |       3        |       0        |      107       |        0        |        0        |      0      |      0      |    1540     |
| 10:16:03 |  0  |     519     |     385     |      0      |      7      |        2        |      28       |       0       |       1       |        1        |       4        |       0        |       94       |        0        |        0        |      0      |      0      |    1372     |
| 10:16:04 |  0  |     488     |     345     |      0      |      0      |        3        |      25       |       0       |       0       |        2        |       3        |       0        |      115       |        0        |        0        |      0      |      0      |    1652     |
| 10:16:05 |  0  |     584     |     452     |      0      |      0      |        7        |      32       |       0       |       0       |        7        |       3        |       0        |       97       |        0        |        0        |      0      |      0      |    1400     |
| 10:16:06 |  0  |     286     |     154     |      0      |      0      |        3        |      11       |       0       |       0       |        3        |       3        |       0        |      118       |        0        |        0        |      0      |      0      |    1694     |
| 10:16:07 |  0  |     789     |     634     |      0      |     10      |        4        |      45       |       0       |       1       |        4        |       3        |       0        |       96       |        0        |        0        |      0      |      0      |    1386     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 10:16:08 |  0  |     659     |     518     |      0      |      0      |        4        |      37       |       0       |       0       |        4        |       5        |       0        |       99       |        0        |        0        |      0      |      0      |    1456     |
| 10:16:09 |  0  |     673     |     521     |      0      |      3      |        4        |      36       |       0       |       3       |        3        |       3        |       0        |      107       |        0        |        0        |      0      |      0      |    1540     |
| 10:16:10 |  0  |     711     |     588     |      0      |     10      |        7        |      40       |       0       |       3       |        4        |       1        |       0        |       69       |        0        |        0        |      0      |      0      |     980     |
| 10:16:11 |  0  |     620     |     476     |      0      |      0      |        3        |      35       |       0       |       0       |        2        |       3        |       0        |      106       |        0        |        0        |      0      |      0      |    1526     |
