timestamp_utc,interval_sec,metric,value,unit
2026-07-04 18:38:20+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:38:20+00:00,20,cpu.usagemhz.average,27.0,MHz
2026-07-04 18:38:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:38:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:38:20+00:00,20,power.energy.summation,496.364,J
2026-07-04 18:38:20+00:00,20,power.power.average,24.818,W
2026-07-04 18:38:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:38:40+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:38:40+00:00,20,cpu.usagemhz.average,27.0,MHz
2026-07-04 18:38:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:38:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:38:40+00:00,20,power.energy.summation,554.408,J
2026-07-04 18:38:40+00:00,20,power.power.average,27.72,W
2026-07-04 18:39:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:39:00+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:39:00+00:00,20,cpu.usagemhz.average,20.0,MHz
2026-07-04 18:39:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:39:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:39:00+00:00,20,power.energy.summation,362.073,J
2026-07-04 18:39:00+00:00,20,power.power.average,18.103,W
2026-07-04 18:39:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:39:20+00:00,20,cpu.ready.summation,34.0,ms
2026-07-04 18:39:20+00:00,20,cpu.usagemhz.average,19.0,MHz
2026-07-04 18:39:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:39:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:39:20+00:00,20,power.energy.summation,358.053,J
2026-07-04 18:39:20+00:00,20,power.power.average,17.902,W
2026-07-04 18:39:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:39:40+00:00,20,cpu.ready.summation,31.0,ms
2026-07-04 18:39:40+00:00,20,cpu.usagemhz.average,24.0,MHz
2026-07-04 18:39:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:39:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:39:40+00:00,20,power.energy.summation,503.707,J
2026-07-04 18:39:40+00:00,20,power.power.average,25.185,W
2026-07-04 18:40:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:40:00+00:00,20,cpu.ready.summation,30.0,ms
2026-07-04 18:40:00+00:00,20,cpu.usagemhz.average,28.0,MHz
2026-07-04 18:40:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:40:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:40:00+00:00,20,power.energy.summation,643.024,J
2026-07-04 18:40:00+00:00,20,power.power.average,32.151,W
2026-07-04 18:40:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:40:20+00:00,20,cpu.ready.summation,26.0,ms
2026-07-04 18:40:20+00:00,20,cpu.usagemhz.average,29.0,MHz
2026-07-04 18:40:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:40:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:40:20+00:00,20,power.energy.summation,456.72,J
2026-07-04 18:40:20+00:00,20,power.power.average,22.836,W
2026-07-04 18:40:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:40:40+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:40:40+00:00,20,cpu.usagemhz.average,20.0,MHz
2026-07-04 18:40:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:40:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:40:40+00:00,20,power.energy.summation,262.282,J
2026-07-04 18:40:40+00:00,20,power.power.average,13.114,W
2026-07-04 18:41:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:41:00+00:00,20,cpu.ready.summation,30.0,ms
2026-07-04 18:41:00+00:00,20,cpu.usagemhz.average,21.0,MHz
2026-07-04 18:41:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:41:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:41:00+00:00,20,power.energy.summation,448.352,J
2026-07-04 18:41:00+00:00,20,power.power.average,22.417,W
2026-07-04 18:41:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:41:20+00:00,20,cpu.ready.summation,30.0,ms
2026-07-04 18:41:20+00:00,20,cpu.usagemhz.average,21.0,MHz
2026-07-04 18:41:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:41:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:41:20+00:00,20,power.energy.summation,473.49,J
2026-07-04 18:41:20+00:00,20,power.power.average,23.674,W
2026-07-04 18:41:40+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:41:40+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:41:40+00:00,20,cpu.usagemhz.average,19.0,MHz
2026-07-04 18:41:40+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:41:40+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:41:40+00:00,20,power.energy.summation,439.386,J
2026-07-04 18:41:40+00:00,20,power.power.average,21.969,W
2026-07-04 18:42:00+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:42:00+00:00,20,cpu.ready.summation,27.0,ms
2026-07-04 18:42:00+00:00,20,cpu.usagemhz.average,28.0,MHz
2026-07-04 18:42:00+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:42:00+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:42:00+00:00,20,power.energy.summation,602.45,J
2026-07-04 18:42:00+00:00,20,power.power.average,30.122,W
2026-07-04 18:42:20+00:00,20,cpu.costop.summation,0.0,ms
2026-07-04 18:42:20+00:00,20,cpu.ready.summation,28.0,ms
2026-07-04 18:42:20+00:00,20,cpu.usagemhz.average,27.0,MHz
2026-07-04 18:42:20+00:00,20,mem.active.average,50331648.0,KB
2026-07-04 18:42:20+00:00,20,mem.consumed.average,67108864.0,KB
2026-07-04 18:42:20+00:00,20,power.energy.summation,402.651,J
2026-07-04 18:42:20+00:00,20,power.power.average,20.132,W
