Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 00:55:41 |  0  |     772     |     566     |      0      |     31      |        3        |      43       |       0       |       1       |        1        |       3        |       0        |      128       |        0        |        0        |      0      |      0      |    1820     |
| 00:55:42 |  0  |     798     |     570     |      0      |     34      |        8        |      39       |       0       |       5       |        5        |       3        |       0        |      147       |        0        |        0        |      0      |      0      |    2114     |
| 00:55:43 |  0  |     542     |     366     |      0      |     27      |        4        |      28       |       0       |       2       |        2        |       0        |       0        |      119       |        0        |        0        |      0      |      0      |    1666     |
| 00:55:44 |  0  |     264     |     142     |      0      |     12      |        0        |      10       |       0       |       1       |        0        |       1        |       0        |       98       |        0        |        0        |      0      |      0      |    1386     |
| 00:55:45 |  0  |     809     |     656     |      0      |     30      |        2        |      44       |       0       |       6       |        1        |       2        |       0        |       71       |        0        |        0        |      0      |      0      |    1022     |
| 00:55:46 |  0  |     505     |     372     |      0      |     20      |        2        |      29       |       0       |       0       |        1        |       1        |       0        |       83       |        0        |        0        |      0      |      0      |    1176     |
| 00:55:47 |  0  |     185     |     97      |      0      |      1      |        1        |       7       |       0       |       0       |        1        |       2        |       0        |       78       |        0        |        0        |      0      |      0      |    1120     |
| 00:55:48 |  0  |     444     |     308     |      0      |     18      |        4        |      21       |       0       |       3       |        3        |       1        |       0        |       93       |        0        |        0        |      0      |      0      |    1316     |
| 00:55:49 |  0  |     645     |     495     |      0      |     22      |        4        |      35       |       0       |       3       |        2        |       0        |       0        |       90       |        0        |        0        |      0      |      0      |    1260     |
| 00:55:50 |  0  |     598     |     409     |      0      |     25      |        3        |      28       |       0       |       3       |        3        |       0        |       0        |      133       |        0        |        0        |      0      |      0      |    1862     |
| 00:55:51 |  0  |     543     |     393     |      0      |     27      |        1        |      27       |       0       |       3       |        1        |       1        |       0        |       92       |        0        |        0        |      0      |      0      |    1302     |
| 00:55:52 |  0  |     524     |     345     |      0      |     17      |        1        |      22       |       0       |       4       |        0        |       2        |       0        |      134       |        0        |        0        |      0      |      0      |    1904     |
