Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 01:12:10 |  0  |     465     |     308     |      0      |      0      |        2        |      22       |       0       |       0       |        2        |       8        |       0        |      127       |        0        |        0        |      0      |      0      |    1890     |
| 01:12:11 |  0  |     643     |     490     |      0      |      0      |        3        |      35       |       0       |       0       |        3        |       6        |       0        |      112       |        0        |        0        |      0      |      0      |    1652     |
| 01:12:12 |  0  |     783     |     605     |      0      |      1      |        6        |      43       |       0       |       0       |        3        |       6        |       0        |      128       |        0        |        0        |      0      |      0      |    1876     |
| 01:12:13 |  0  |     452     |     311     |      0      |      3      |        6        |      23       |       0       |       0       |        2        |       4        |       0        |      111       |        0        |        0        |      0      |      0      |    1610     |
| 01:12:14 |  0  |     487     |     347     |      0      |      0      |        7        |      27       |       0       |       0       |        2        |       6        |       0        |      107       |        0        |        0        |      0      |      0      |    1582     |
| 01:12:15 |  0  |     328     |     190     |      0      |      0      |        5        |      13       |       0       |       0       |        4        |       6        |       0        |      119       |        0        |        0        |      0      |      0      |    1750     |
| 01:12:16 |  0  |     371     |     238     |      0      |      0      |        4        |      17       |       0       |       0       |        4        |       6        |       0        |      110       |        0        |        0        |      0      |      0      |    1624     |
| 01:12:17 |  0  |     894     |     725     |      0      |      0      |       11        |      54       |       0       |       0       |        5        |       10       |       0        |      105       |        0        |        0        |      0      |      0      |    1610     |
| 01:12:18 |  0  |     715     |     562     |      0      |      0      |        2        |      41       |       0       |       0       |        1        |       6        |       0        |      106       |        0        |        0        |      0      |      0      |    1568     |
| 01:12:19 |  0  |     620     |     474     |      0      |      2      |        6        |      34       |       0       |       0       |        6        |       10       |       0        |      100       |        0        |        0        |      0      |      0      |    1540     |
| 01:12:20 |  0  |     307     |     177     |      0      |      1      |        1        |      13       |       0       |       0       |        0        |       4        |       0        |      112       |        0        |        0        |      0      |      0      |    1624     |
| 01:12:21 |  0  |     428     |     305     |      0      |      0      |        3        |      22       |       0       |       0       |        2        |       7        |       0        |       94       |        0        |        0        |      0      |      0      |    1400     |
| 01:12:22 |  0  |     853     |     672     |      0      |      2      |        5        |      50       |       0       |       0       |        5        |       6        |       0        |      123       |        0        |        0        |      0      |      0      |    1820     |
| 01:12:23 |  0  |     684     |     535     |      0      |      5      |        3        |      39       |       0       |       0       |        2        |       4        |       0        |      101       |        0        |        0        |      0      |      0      |    1470     |
| 01:12:24 |  0  |     571     |     430     |      0      |      0      |        5        |      32       |       0       |       0       |        4        |       5        |       0        |      104       |        0        |        0        |      0      |      0      |    1526     |
| 01:12:25 |  0  |     490     |     350     |      0      |      0      |        2        |      25       |       0       |       0       |        2        |       5        |       0        |      110       |        0        |        0        |      0      |      0      |    1610     |
| 01:12:26 |  0  |     481     |     336     |      0      |      0      |        3        |      24       |       0       |       0       |        1        |       5        |       0        |      116       |        0        |        0        |      0      |      0      |    1694     |
| 01:12:27 |  0  |     609     |     462     |      0      |      0      |        6        |      33       |       0       |       0       |        2        |       6        |       0        |      108       |        0        |        0        |      0      |      0      |    1596     |
| 01:12:28 |  0  |     534     |     392     |      0      |      0      |        3        |      28       |       0       |       0       |        3        |       4        |       0        |      110       |        0        |        0        |      0      |      0      |    1596     |
| 01:12:29 |  0  |     682     |     532     |      0      |      0      |        2        |      38       |       0       |       0       |        2        |       8        |       0        |      104       |        0        |        0        |      0      |      0      |    1568     |
