Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 14:35:06 |  0  |     565     |     331     |      0      |     33      |        2        |      26       |       0       |       1       |        1        |       5        |       0        |      169       |        0        |        0        |      0      |      0      |    2436     |
| 14:35:07 |  0  |     781     |     563     |      0      |     48      |        4        |      40       |       0       |       5       |        2        |       1        |       0        |      124       |        0        |        0        |      0      |      0      |    1750     |
| 14:35:08 |  0  |     688     |     495     |      0      |     34      |        4        |      32       |       0       |       6       |        3        |       2        |       0        |      119       |        0        |        0        |      0      |      0      |    1694     |
| 14:35:09 |  0  |     385     |     211     |      0      |     13      |        0        |      14       |       0       |       2       |        0        |       5        |       0        |      140       |        0        |        0        |      0      |      0      |    2030     |
| 14:35:10 |  0  |     559     |     396     |      0      |     24      |        2        |      30       |       0       |       1       |        3        |       1        |       0        |      107       |        0        |        0        |      0      |      0      |    1512     |
| 14:35:11 |  0  |     514     |     339     |      0      |     28      |        2        |      25       |       0       |       2       |        2        |       2        |       0        |      118       |        0        |        0        |      0      |      0      |    1680     |
| 14:35:12 |  0  |     538     |     385     |      0      |     35      |        4        |      24       |       0       |       6       |        3        |       0        |       0        |       88       |        0        |        0        |      0      |      0      |    1232     |
| 14:35:13 |  0  |     548     |     371     |      0      |     35      |        1        |      28       |       0       |       1       |        1        |       4        |       0        |      109       |        0        |        0        |      0      |      0      |    1582     |
| 14:35:14 |  0  |     599     |     407     |      0      |     27      |        4        |      30       |       0       |       2       |        4        |       1        |       0        |      132       |        0        |        0        |      0      |      0      |    1862     |
| 14:35:15 |  0  |     437     |     307     |      0      |     26      |        6        |      22       |       0       |       3       |        3        |       3        |       0        |       76       |        0        |        0        |      0      |      0      |    1106     |
