Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 02:21:16 |  0  |     318     |     154     |      0      |      0      |        2        |      13       |       0       |       0       |        1        |       13       |       0        |      138       |        0        |        0        |      0      |      0      |    2114     |
| 02:21:17 |  0  |     339     |     198     |      0      |      0      |        3        |      15       |       0       |       0       |        1        |       7        |       0        |      119       |        0        |        0        |      0      |      0      |    1764     |
| 02:21:18 |  0  |     368     |     224     |      0      |      0      |        2        |      16       |       0       |       0       |        2        |       7        |       0        |      121       |        0        |        0        |      0      |      0      |    1792     |
| 02:21:19 |  0  |     252     |     113     |      0      |      0      |        1        |       8       |       0       |       0       |        1        |       13       |       0        |      118       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:20 |  0  |     375     |     224     |      0      |      0      |        5        |      16       |       0       |       0       |        1        |       11       |       0        |      124       |        0        |        0        |      0      |      0      |    1890     |
| 02:21:21 |  0  |     570     |     406     |      0      |      0      |        5        |      29       |       0       |       0       |        5        |       13       |       0        |      122       |        0        |        0        |      0      |      0      |    1890     |
| 02:21:22 |  0  |     426     |     252     |      0      |      0      |        2        |      18       |       0       |       0       |        2        |       10       |       0        |      146       |        0        |        0        |      0      |      0      |    2184     |
| 02:21:23 |  0  |     358     |     210     |      0      |      0      |        2        |      15       |       0       |       0       |        2        |       6        |       0        |      127       |        0        |        0        |      0      |      0      |    1862     |
| 02:21:24 |  0  |     394     |     252     |      0      |      0      |        1        |      18       |       0       |       0       |        1        |       7        |       0        |      117       |        0        |        0        |      0      |      0      |    1736     |
| 02:21:25 |  0  |     461     |     308     |      0      |      0      |        0        |      22       |       0       |       0       |        0        |       16       |       0        |      115       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:26 |  0  |     382     |     238     |      0      |      0      |        3        |      17       |       0       |       0       |        1        |       6        |       0        |      121       |        0        |        0        |      0      |      0      |    1778     |
| 02:21:27 |  0  |     255     |     115     |      0      |      0      |        4        |       9       |       0       |       0       |        2        |       11       |       0        |      120       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:28 |  0  |     369     |     224     |      0      |      0      |        4        |      16       |       0       |       0       |        2        |       12       |       0        |      117       |        0        |        0        |      0      |      0      |    1806     |
| 02:21:29 |  0  |     219     |     84      |      0      |      0      |        1        |       6       |       0       |       0       |        1        |       10       |       0        |      119       |        0        |        0        |      0      |      0      |    1806     |
| 02:21:30 |  0  |     734     |     560     |      0      |      0      |        0        |      40       |       0       |       0       |        0        |       13       |       0        |      121       |        0        |        0        |      0      |      0      |    1876     |
| 02:21:31 |  0  |     685     |     517     |      0      |      0      |        1        |      37       |       0       |       0       |        0        |       6        |       0        |      125       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:32 |  0  |     475     |     308     |      0      |      0      |        0        |      22       |       0       |       0       |        0        |       7        |       0        |      138       |        0        |        0        |      0      |      0      |    2030     |
| 02:21:33 |  0  |     510     |     352     |      0      |      1      |        4        |      26       |       0       |       0       |        2        |       12       |       0        |      119       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:34 |  0  |     318     |     166     |      0      |      2      |        2        |      12       |       0       |       0       |        2        |       12       |       0        |      126       |        0        |        0        |      0      |      0      |    1932     |
| 02:21:35 |  0  |     487     |     328     |      0      |      8      |        3        |      24       |       0       |       0       |        3        |       13       |       0        |      114       |        0        |        0        |      0      |      0      |    1778     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 02:21:36 |  0  |     500     |     336     |      0      |      0      |        0        |      24       |       0       |       0       |        0        |       7        |       0        |      133       |        0        |        0        |      0      |      0      |    1960     |
| 02:21:37 |  0  |     379     |     227     |      0      |      0      |        3        |      17       |       0       |       0       |        2        |       7        |       0        |      128       |        0        |        0        |      0      |      0      |    1890     |
| 02:21:38 |  0  |     432     |     280     |      0      |      0      |        2        |      21       |       0       |       0       |        1        |       11       |       0        |      120       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:39 |  0  |     674     |     504     |      0      |      0      |        1        |      36       |       0       |       0       |        1        |       7        |       0        |      127       |        0        |        0        |      0      |      0      |    1876     |
| 02:21:40 |  0  |     431     |     280     |      0      |      0      |        0        |      20       |       0       |       0       |        0        |       9        |       0        |      122       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:41 |  0  |     397     |     238     |      0      |      0      |        0        |      17       |       0       |       0       |        0        |       11       |       0        |      131       |        0        |        0        |      0      |      0      |    1988     |
| 02:21:42 |  0  |     218     |     84      |      0      |      0      |        0        |       6       |       0       |       0       |        0        |       9        |       0        |      119       |        0        |        0        |      0      |      0      |    1792     |
| 02:21:43 |  0  |     373     |     236     |      0      |      0      |        5        |      17       |       0       |       0       |        2        |       4        |       0        |      116       |        0        |        0        |      0      |      0      |    1680     |
| 02:21:44 |  0  |     725     |     576     |      0      |      0      |        5        |      42       |       0       |       0       |        1        |       2        |       0        |      105       |        0        |        0        |      0      |      0      |    1498     |
| 02:21:45 |  0  |     184     |     83      |      0      |      0      |        0        |       5       |       0       |       0       |        0        |       5        |       0        |       91       |        0        |        0        |      0      |      0      |    1344     |
| 02:21:46 |  0  |     242     |     141     |      0      |      0      |        0        |      10       |       0       |       0       |        0        |       3        |       0        |       88       |        0        |        0        |      0      |      0      |    1274     |
| 02:21:47 |  0  |     244     |     126     |      0      |      0      |        0        |       9       |       0       |       0       |        0        |       5        |       0        |      104       |        0        |        0        |      0      |      0      |    1526     |
| 02:21:48 |  0  |     92      |      0      |      0      |      0      |        0        |       0       |       0       |       0       |        0        |       4        |       0        |       88       |        0        |        0        |      0      |      0      |    1288     |
| 02:21:49 |  0  |     545     |     419     |      0      |      0      |        2        |      30       |       0       |       0       |        1        |       4        |       0        |       92       |        0        |        0        |      0      |      0      |    1344     |
| 02:21:50 |  0  |     506     |     392     |      0      |      0      |        0        |      28       |       0       |       0       |        0        |       8        |       0        |       78       |        0        |        0        |      0      |      0      |    1204     |
| 02:21:51 |  0  |     386     |     238     |      0      |      0      |        1        |      18       |       0       |       0       |        0        |       5        |       0        |      125       |        0        |        0        |      0      |      0      |    1820     |
| 02:21:52 |  0  |     133     |      0      |      0      |      0      |        0        |       0       |       0       |       0       |        0        |       8        |       0        |      125       |        0        |        0        |      0      |      0      |    1862     |
| 02:21:53 |  0  |     268     |     126     |      0      |      0      |        0        |       9       |       0       |       0       |        0        |       13       |       0        |      120       |        0        |        0        |      0      |      0      |    1862     |
| 02:21:54 |  0  |     379     |     224     |      0      |      0      |        0        |      16       |       0       |       0       |        0        |       9        |       0        |      130       |        0        |        0        |      0      |      0      |    1946     |
| 02:21:55 |  0  |     145     |     14      |      0      |      0      |        0        |       1       |       0       |       0       |        0        |       15       |       0        |      115       |        0        |        0        |      0      |      0      |    1820     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 02:21:56 |  0  |     241     |     98      |      0      |      0      |        0        |       7       |       0       |       0       |        0        |       10       |       0        |      126       |        0        |        0        |      0      |      0      |    1904     |
| 02:21:57 |  0  |     701     |     532     |      0      |      0      |        6        |      38       |       0       |       0       |        4        |       9        |       0        |      122       |        0        |        0        |      0      |      0      |    1834     |
| 02:21:58 |  0  |     510     |     350     |      0      |      0      |        1        |      25       |       0       |       0       |        1        |       18       |       0        |      117       |        0        |        0        |      0      |      0      |    1890     |
| 02:21:59 |  0  |     733     |     560     |      0      |      0      |        0        |      40       |       0       |       0       |        0        |       8        |       0        |      125       |        0        |        0        |      0      |      0      |    1862     |
| 02:22:00 |  0  |     573     |     406     |      0      |      0      |        0        |      29       |       0       |       0       |        0        |       15       |       0        |      123       |        0        |        0        |      0      |      0      |    1932     |
| 02:22:01 |  0  |     543     |     378     |      0      |      0      |        0        |      27       |       0       |       0       |        0        |       12       |       0        |      126       |        0        |        0        |      0      |      0      |    1932     |
| 02:22:02 |  0  |     642     |     475     |      0      |      0      |        3        |      34       |       0       |       0       |        0        |       11       |       0        |      122       |        0        |        0        |      0      |      0      |    1862     |
| 02:22:03 |  0  |     473     |     308     |      0      |      0      |        2        |      23       |       0       |       0       |        1        |       6        |       0        |      136       |        0        |        0        |      0      |      0      |    1988     |
| 02:22:04 |  0  |     463     |     307     |      0      |      1      |        1        |      22       |       0       |       0       |        1        |       6        |       0        |      127       |        0        |        0        |      0      |      0      |    1862     |
| 02:22:05 |  0  |     265     |     126     |      0      |      0      |        0        |       9       |       0       |       0       |        0        |       7        |       0        |      123       |        0        |        0        |      0      |      0      |    1820     |
| 02:22:06 |  0  |     649     |     476     |      0      |      0      |        0        |      34       |       0       |       0       |        0        |       6        |       0        |      133       |        0        |        0        |      0      |      0      |    1946     |
| 02:22:07 |  0  |     245     |     98      |      0      |      0      |        0        |       7       |       0       |       0       |        0        |       5        |       0        |      135       |        0        |        0        |      0      |      0      |    1960     |
| 02:22:08 |  0  |     310     |     168     |      0      |      0      |        0        |      12       |       0       |       0       |        0        |       11       |       0        |      119       |        0        |        0        |      0      |      0      |    1820     |
| 02:22:09 |  0  |     249     |     105     |      0      |      0      |        2        |       8       |       0       |       0       |        1        |       9        |       0        |      127       |        0        |        0        |      0      |      0      |    1904     |
| 02:22:10 |  0  |     854     |     663     |      0      |      0      |        1        |      48       |       0       |       0       |        0        |       10       |       0        |      133       |        0        |        0        |      0      |      0      |    2002     |
| 02:22:11 |  0  |     244     |     112     |      0      |      0      |        0        |       8       |       0       |       0       |        0        |       6        |       0        |      118       |        0        |        0        |      0      |      0      |    1736     |
| 02:22:12 |  0  |     248     |     112     |      0      |      0      |        1        |       8       |       0       |       0       |        1        |       6        |       0        |      122       |        0        |        0        |      0      |      0      |    1792     |
| 02:22:13 |  0  |     304     |     168     |      0      |      0      |        0        |      12       |       0       |       0       |        0        |       4        |       0        |      120       |        0        |        0        |      0      |      0      |    1736     |
| 02:22:14 |  0  |     201     |     56      |      0      |      0      |        0        |       4       |       0       |       0       |        0        |       14       |       0        |      127       |        0        |        0        |      0      |      0      |    1974     |
| 02:22:15 |  0  |     415     |     266     |      0      |      0      |        1        |      19       |       0       |       0       |        1        |       8        |       0        |      122       |        0        |        0        |      0      |      0      |    1820     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 02:22:16 |  0  |     473     |     306     |      0      |      2      |        0        |      22       |       0       |       0       |        0        |       8        |       0        |      135       |        0        |        0        |      0      |      0      |    2002     |
| 02:22:17 |  0  |     190     |     56      |      0      |      0      |        0        |       4       |       0       |       0       |        0        |       8        |       0        |      122       |        0        |        0        |      0      |      0      |    1820     |
| 02:22:18 |  0  |     579     |     417     |      0      |      0      |        1        |      30       |       0       |       0       |        0        |       9        |       0        |      123       |        0        |        0        |      0      |      0      |    1848     |
| 02:22:19 |  0  |     141     |      0      |      0      |      0      |        0        |       0       |       0       |       0       |        0        |       3        |       0        |      138       |        0        |        0        |      0      |      0      |    1974     |
| 02:22:20 |  0  |     203     |     63      |      0      |      0      |        1        |       5       |       0       |       0       |        0        |       4        |       0        |      131       |        0        |        0        |      0      |      0      |    1890     |
| 02:22:21 |  0  |     152     |     14      |      0      |      0      |        0        |       1       |       0       |       0       |        0        |       3        |       0        |      134       |        0        |        0        |      0      |      0      |    1918     |
