Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 15:19:59 |  0  |     706     |     541     |      0      |      5      |        3        |      39       |       0       |       0       |        3        |       12       |       0        |      109       |        0        |        0        |      0      |      0      |    1694     |
| 15:20:00 |  0  |     447     |     294     |      0      |      0      |        6        |      21       |       0       |       0       |        4        |       5        |       0        |      127       |        0        |        0        |      0      |      0      |    1848     |
| 15:20:01 |  0  |     453     |     314     |      0      |      0      |        2        |      23       |       0       |       0       |        1        |       4        |       0        |      112       |        0        |        0        |      0      |      0      |    1624     |
| 15:20:02 |  0  |     752     |     588     |      0      |      0      |        5        |      42       |       0       |       0       |        3        |       4        |       0        |      118       |        0        |        0        |      0      |      0      |    1708     |
| 15:20:03 |  0  |     581     |     430     |      0      |      0      |        5        |      31       |       0       |       0       |        2        |       2        |       0        |      118       |        0        |        0        |      0      |      0      |    1666     |
| 15:20:04 |  0  |     444     |     292     |      0      |      0      |        4        |      22       |       0       |       0       |        2        |       5        |       0        |      125       |        0        |        0        |      0      |      0      |    1834     |
| 15:20:05 |  0  |     445     |     307     |      0      |      1      |        3        |      22       |       0       |       0       |        3        |       8        |       0        |      107       |        0        |        0        |      0      |      0      |    1610     |
| 15:20:06 |  0  |     594     |     445     |      0      |      3      |        3        |      32       |       0       |       0       |        3        |       8        |       0        |      106       |        0        |        0        |      0      |      0      |    1596     |
| 15:20:07 |  0  |     698     |     561     |      0      |      0      |        4        |      41       |       0       |       0       |        3        |       3        |       0        |       93       |        0        |        0        |      0      |      0      |    1344     |
| 15:20:08 |  0  |     612     |     456     |      0      |      0      |        2        |      34       |       0       |       0       |        0        |       8        |       0        |      114       |        0        |        0        |      0      |      0      |    1708     |
| 15:20:09 |  0  |     737     |     587     |      0      |      1      |        4        |      42       |       0       |       0       |        2        |       8        |       0        |       99       |        0        |        0        |      0      |      0      |    1498     |
| 15:20:10 |  0  |     953     |     785     |      0      |      0      |        6        |      58       |       0       |       0       |        5        |       4        |       0        |      106       |        0        |        0        |      0      |      0      |    1540     |
| 15:20:11 |  0  |     906     |     717     |      0      |      0      |       11        |      52       |       0       |       0       |        6        |       11       |       0        |      126       |        0        |        0        |      0      |      0      |    1918     |
| 15:20:12 |  0  |     347     |     224     |      0      |      0      |        3        |      16       |       0       |       0       |        3        |       7        |       0        |      100       |        0        |        0        |      0      |      0      |    1498     |
| 15:20:13 |  0  |     742     |     581     |      0      |      1      |        5        |      44       |       0       |       0       |        2        |       4        |       0        |      112       |        0        |        0        |      0      |      0      |    1610     |
| 15:20:14 |  0  |     643     |     475     |      0      |      1      |        4        |      35       |       0       |       0       |        3        |       9        |       0        |      123       |        0        |        0        |      0      |      0      |    1862     |
| 15:20:15 |  0  |     610     |     440     |      0      |      1      |        4        |      32       |       0       |       0       |        3        |       9        |       0        |      128       |        0        |        0        |      0      |      0      |    1918     |
| 15:20:16 |  0  |     682     |     532     |      0      |      0      |        6        |      38       |       0       |       0       |        4        |       5        |       0        |      107       |        0        |        0        |      0      |      0      |    1568     |
| 15:20:17 |  0  |     892     |     716     |      0      |      1      |       14        |      54       |       0       |       0       |        6        |       5        |       0        |      102       |        0        |        0        |      0      |      0      |    1498     |
| 15:20:18 |  0  |    1032     |     867     |      0      |      0      |        7        |      61       |       0       |       0       |        6        |       4        |       0        |      114       |        0        |        0        |      0      |      0      |    1652     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 15:20:19 |  0  |     588     |     441     |      0      |      0      |        7        |      34       |       0       |       0       |        2        |       8        |       0        |      105       |        0        |        0        |      0      |      0      |    1582     |
| 15:20:20 |  0  |     556     |     406     |      0      |      0      |        2        |      29       |       0       |       0       |        2        |       2        |       0        |      119       |        0        |        0        |      0      |      0      |    1694     |
| 15:20:21 |  0  |     599     |     450     |      0      |      1      |        1        |      33       |       0       |       0       |        0        |       3        |       0        |      112       |        0        |        0        |      0      |      0      |    1610     |
| 15:20:22 |  0  |     754     |     588     |      0      |      0      |        8        |      42       |       0       |       0       |        4        |       2        |       0        |      122       |        0        |        0        |      0      |      0      |    1736     |
| 15:20:23 |  0  |     604     |     462     |      0      |      0      |        3        |      33       |       0       |       0       |        3        |       1        |       0        |      108       |        0        |        0        |      0      |      0      |    1526     |
| 15:20:24 |  0  |     637     |     484     |      0      |      0      |       10        |      34       |       0       |       0       |        7        |       6        |       0        |      113       |        0        |        0        |      0      |      0      |    1666     |
| 15:20:25 |  0  |     362     |     224     |      0      |      0      |        1        |      16       |       0       |       0       |        1        |       4        |       0        |      118       |        0        |        0        |      0      |      0      |    1708     |
| 15:20:26 |  0  |    1045     |     860     |      0      |      0      |        6        |      62       |       0       |       0       |        4        |       4        |       0        |      119       |        0        |        0        |      0      |      0      |    1722     |
| 15:20:27 |  0  |     339     |     184     |      0      |      0      |        3        |      14       |       0       |       0       |        1        |       10       |       0        |      131       |        0        |        0        |      0      |      0      |    1974     |
| 15:20:28 |  0  |     527     |     408     |      0      |      0      |        6        |      30       |       0       |       0       |        1        |       4        |       0        |       85       |        0        |        0        |      0      |      0      |    1246     |
| 15:20:30 |  0  |     490     |     350     |      0      |      0      |        3        |      28       |       0       |       0       |        1        |       4        |       0        |       94       |        0        |        0        |      0      |      0      |    1372     |
| 15:20:31 |  0  |     772     |     627     |      0      |      0      |        7        |      45       |       0       |       0       |        3        |       7        |       0        |      107       |        0        |        0        |      0      |      0      |    1596     |
| 15:20:32 |  0  |     780     |     629     |      0      |      0      |        8        |      45       |       0       |       0       |        6        |       9        |       0        |       97       |        0        |        0        |      0      |      0      |    1484     |
| 15:20:33 |  0  |     487     |     359     |      0      |      0      |        5        |      26       |       0       |       0       |        4        |       7        |       0        |       95       |        0        |        0        |      0      |      0      |    1428     |
| 15:20:34 |  0  |     341     |     237     |      0      |      0      |        3        |      17       |       0       |       0       |        2        |       4        |       0        |       83       |        0        |        0        |      0      |      0      |    1218     |
| 15:20:35 |  0  |     666     |     546     |      0      |      0      |        3        |      39       |       0       |       0       |        3        |       8        |       0        |       73       |        0        |        0        |      0      |      0      |    1134     |
| 15:20:36 |  0  |     749     |     604     |      0      |      0      |        5        |      43       |       0       |       0       |        4        |       6        |       0        |       96       |        0        |        0        |      0      |      0      |    1428     |
| 15:20:37 |  0  |     445     |     319     |      0      |      0      |        2        |      23       |       0       |       0       |        1        |       8        |       0        |       95       |        0        |        0        |      0      |      0      |    1442     |
| 15:20:38 |  0  |     684     |     503     |      0      |      1      |        5        |      36       |       0       |       0       |        5        |       8        |       0        |      136       |        0        |        0        |      0      |      0      |    2002     |
| 15:20:39 |  0  |     454     |     308     |      0      |      0      |        5        |      24       |       0       |       0       |        3        |       6        |       0        |      116       |        0        |        0        |      0      |      0      |    1708     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 15:20:40 |  0  |     720     |     550     |      0      |      0      |        9        |      40       |       0       |       0       |        8        |       8        |       0        |      122       |        0        |        0        |      0      |      0      |    1834     |
| 15:20:41 |  0  |     925     |     770     |      0      |      0      |        3        |      55       |       0       |       0       |        1        |       3        |       0        |       97       |        0        |        0        |      0      |      0      |    1400     |
| 15:20:42 |  0  |     483     |     336     |      0      |      0      |        2        |      24       |       0       |       0       |        2        |       13       |       0        |      110       |        0        |        0        |      0      |      0      |    1722     |
| 15:20:43 |  0  |     676     |     540     |      0      |      0      |        3        |      39       |       0       |       0       |        2        |       11       |       0        |       86       |        0        |        0        |      0      |      0      |    1358     |
| 15:20:44 |  0  |     702     |     557     |      0      |      1      |        7        |      40       |       0       |       0       |        4        |       11       |       0        |       93       |        0        |        0        |      0      |      0      |    1456     |
| 15:20:45 |  0  |     906     |     729     |      0      |      0      |        4        |      53       |       0       |       0       |        2        |       6        |       0        |      118       |        0        |        0        |      0      |      0      |    1736     |
| 15:20:46 |  0  |     467     |     322     |      0      |      0      |        4        |      23       |       0       |       0       |        4        |       6        |       0        |      116       |        0        |        0        |      0      |      0      |    1708     |
| 15:20:47 |  0  |     903     |     714     |      0      |      1      |        5        |      52       |       0       |       0       |        2        |       5        |       0        |      131       |        0        |        0        |      0      |      0      |    1904     |
| 15:20:48 |  0  |     540     |     392     |      0      |      0      |        4        |      28       |       0       |       0       |        4        |       6        |       0        |      114       |        0        |        0        |      0      |      0      |    1680     |
| 15:20:49 |  0  |     775     |     634     |      0      |      0      |       10        |      47       |       0       |       0       |        9        |       8        |       0        |       86       |        0        |        0        |      0      |      0      |    1316     |
| 15:20:50 |  0  |     702     |     534     |      0      |      1      |       10        |      40       |       0       |       0       |        6        |       6        |       0        |      121       |        0        |        0        |      0      |      0      |    1778     |
| 15:20:51 |  0  |     482     |     328     |      0      |      1      |        3        |      24       |       0       |       0       |        2        |       7        |       0        |      122       |        0        |        0        |      0      |      0      |    1806     |
| 15:20:52 |  0  |     619     |     470     |      0      |      0      |        7        |      33       |       0       |       0       |        6        |       6        |       0        |      110       |        0        |        0        |      0      |      0      |    1624     |
| 15:20:53 |  0  |     375     |     251     |      0      |      1      |        2        |      18       |       0       |       0       |        2        |       4        |       0        |      101       |        0        |        0        |      0      |      0      |    1470     |
| 15:20:54 |  0  |     464     |     307     |      0      |      1      |        0        |      22       |       0       |       0       |        0        |       6        |       0        |      128       |        0        |        0        |      0      |      0      |    1876     |
| 15:20:55 |  0  |     726     |     559     |      0      |      1      |        5        |      41       |       0       |       0       |        4        |       8        |       0        |      117       |        0        |        0        |      0      |      0      |    1750     |
| 15:20:56 |  0  |     591     |     406     |      0      |      0      |        1        |      29       |       0       |       0       |        1        |       5        |       0        |      151       |        0        |        0        |      0      |      0      |    2184     |
| 15:20:57 |  0  |     340     |     223     |      0      |      1      |        1        |      16       |       0       |       0       |        1        |       4        |       0        |       96       |        0        |        0        |      0      |      0      |    1400     |
| 15:20:58 |  0  |     828     |     643     |      0      |      1      |        9        |      46       |       0       |       0       |        5        |       9        |       0        |      129       |        0        |        0        |      0      |      0      |    1932     |
| 15:20:59 |  0  |     417     |     280     |      0      |      0      |        2        |      20       |       0       |       0       |        2        |       8        |       0        |      109       |        0        |        0        |      0      |      0      |    1638     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 15:21:00 |  0  |     682     |     520     |      0      |      0      |        5        |      38       |       0       |       0       |        4        |       13       |       0        |      111       |        0        |        0        |      0      |      0      |    1736     |
| 15:21:02 |  0  |     567     |     405     |      0      |      1      |       12        |      30       |       0       |       0       |        6        |       4        |       0        |      127       |        0        |        0        |      0      |      0      |    1820     |
| 15:21:03 |  0  |     517     |     350     |      0      |      0      |        6        |      25       |       0       |       0       |        2        |       6        |       0        |      136       |        0        |        0        |      0      |      0      |    1988     |
| 15:21:04 |  0  |     488     |     336     |      0      |      0      |        2        |      24       |       0       |       0       |        2        |       2        |       0        |      126       |        0        |        0        |      0      |      0      |    1806     |
| 15:21:05 |  0  |     685     |     557     |      0      |      0      |        6        |      41       |       0       |       0       |        2        |       3        |       0        |       84       |        0        |        0        |      0      |      0      |    1218     |
| 15:21:06 |  0  |     480     |     349     |      0      |      2      |        8        |      26       |       0       |       0       |        2        |       6        |       0        |       97       |        0        |        0        |      0      |      0      |    1442     |
| 15:21:07 |  0  |     741     |     581     |      0      |      0      |        8        |      41       |       0       |       0       |        6        |       6        |       0        |      113       |        0        |        0        |      0      |      0      |    1666     |
