Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 00:55:10 |  0  |    14099    |    12851    |      0      |     62      |        0        |      986      |       0       |       5       |        0        |       38       |       0        |      157       |        0        |        0        |      0      |      0      |    2730     |
| 00:55:11 |  0  |    2331     |    1984     |      0      |      0      |        0        |      152      |       0       |       0       |        0        |       47       |       0        |      148       |        0        |        0        |      0      |      0      |    2730     |
| 00:55:12 |  0  |     240     |     42      |      0      |      0      |        0        |       3       |       0       |       0       |        0        |       42       |       0        |      153       |        0        |        0        |      0      |      0      |    2730     |
| 00:55:13 |  0  |    3033     |    2644     |      0      |      0      |        0        |      202      |       0       |       0       |        0        |       37       |       0        |      150       |        0        |        0        |      0      |      0      |    2618     |
| 00:55:14 |  0  |     248     |     56      |      0      |      0      |        0        |       4       |       0       |       0       |        0        |       42       |       0        |      146       |        0        |        0        |      0      |      0      |    2632     |
| 00:55:15 |  0  |     252     |     56      |      0      |      0      |        0        |       4       |       0       |       0       |        0        |       45       |       0        |      147       |        0        |        0        |      0      |      0      |    2688     |
| 00:55:16 |  0  |    6050     |    5444     |      0      |      0      |        2        |      418      |       0       |       0       |        0        |       39       |       0        |      149       |        0        |        0        |      0      |      0      |    2632     |
| 00:55:17 |  0  |     269     |     70      |      0      |      0      |        0        |       5       |       0       |       0       |        0        |       47       |       0        |      147       |        0        |        0        |      0      |      0      |    2716     |
| 00:55:18 |  0  |     201     |     14      |      0      |      0      |        0        |       1       |       0       |       0       |        0        |       36       |       0        |      150       |        0        |        0        |      0      |      0      |    2604     |
| 00:55:19 |  0  |     515     |     290     |      0      |      2      |        0        |      22       |       0       |       0       |        0        |       38       |       0        |      163       |        0        |        0        |      0      |      0      |    2814     |
| 00:55:20 |  0  |    1982     |    1672     |      0      |      0      |        0        |      128      |       0       |       0       |        0        |       34       |       0        |      148       |        0        |        0        |      0      |      0      |    2548     |
| 00:55:21 |  0  |     207     |     14      |      0      |      0      |        0        |       1       |       0       |       0       |        0        |       46       |       0        |      146       |        0        |        0        |      0      |      0      |    2688     |
| 00:55:22 |  0  |    10877    |    9936     |      0      |      0      |        2        |      764      |       0       |       0       |        0        |       37       |       0        |      140       |        0        |        0        |      0      |      0      |    2478     |
| 00:55:23 |  0  |     477     |     266     |      0      |      0      |        0        |      19       |       0       |       0       |        0        |       41       |       0        |      151       |        0        |        0        |      0      |      0      |    2688     |
| 00:55:24 |  0  |    1372     |    1096     |      0      |      0      |        0        |      84       |       0       |       0       |        0        |       39       |       0        |      153       |        0        |        0        |      0      |      0      |    2688     |
| 00:55:25 |  0  |    6929     |    6260     |      0      |      0      |        6        |      481      |       0       |       0       |        0        |       42       |       0        |      146       |        0        |        0        |      0      |      0      |    2632     |
| 00:55:26 |  0  |    15059    |    13826    |      0      |      0      |        0        |     1056      |       0       |       0       |        0        |       42       |       0        |      135       |        0        |        0        |      0      |      0      |    2478     |
| 00:55:27 |  0  |    18099    |    16643    |      0      |      0      |        4        |     1272      |       0       |       0       |        0        |       40       |       0        |      144       |        0        |        0        |      0      |      0      |    2576     |
| 00:55:28 |  0  |    19170    |    17645    |      0      |      0      |        3        |     1344      |       0       |       0       |        0        |       32       |       0        |      149       |        0        |        0        |      0      |      0      |    2534     |
| 00:55:29 |  0  |    19888    |    18284    |      0      |      0      |        2        |     1406      |       0       |       0       |        0        |       38       |       0        |      160       |        0        |        0        |      0      |      0      |    2772     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 00:55:30 |  0  |    22695    |    20904    |      0      |      0      |        4        |     1608      |       0       |       0       |        0        |       40       |       0        |      143       |        0        |        0        |      0      |      0      |    2562     |
| 00:55:31 |  0  |    22591    |    20800    |      0      |      0      |        4        |     1600      |       0       |       0       |        0        |       44       |       0        |      147       |        0        |        0        |      0      |      0      |    2674     |
| 00:55:32 |  0  |    22559    |    20772    |      0      |      0      |        2        |     1598      |       0       |       0       |        0        |       32       |       0        |      157       |        0        |        0        |      0      |      0      |    2646     |
| 00:55:33 |  0  |    22590    |    20800    |      0      |      0      |        7        |     1600      |       0       |       0       |        0        |       43       |       0        |      147       |        0        |        0        |      0      |      0      |    2660     |
| 00:55:34 |  0  |    22590    |    20800    |      0      |      0      |        8        |     1600      |       0       |       0       |        0        |       53       |       0        |      137       |        0        |        0        |      0      |      0      |    2660     |
| 00:55:35 |  0  |    22581    |    20800    |      0      |      0      |        7        |     1600      |       0       |       0       |        0        |       37       |       0        |      144       |        0        |        0        |      0      |      0      |    2534     |
| 00:55:36 |  0  |    22688    |    20884    |      0      |      0      |        2        |     1607      |       0       |       0       |        0        |       43       |       0        |      154       |        0        |        0        |      0      |      0      |    2758     |
| 00:55:37 |  0  |    22558    |    20777    |      0      |      0      |        3        |     1598      |       0       |       0       |        0        |       39       |       0        |      144       |        0        |        0        |      0      |      0      |    2562     |
| 00:55:38 |  0  |    22577    |    20787    |      0      |      0      |        6        |     1599      |       0       |       0       |        0        |       40       |       0        |      151       |        0        |        0        |      0      |      0      |    2674     |
| 00:55:39 |  0  |    22589    |    20800    |      0      |      0      |        0        |     1600      |       0       |       0       |        0        |       44       |       0        |      145       |        0        |        0        |      0      |      0      |    2646     |
| 00:55:40 |  0  |    22591    |    20800    |      0      |      0      |        0        |     1600      |       0       |       0       |        0        |       39       |       0        |      152       |        0        |        0        |      0      |      0      |    2674     |
| 00:55:41 |  0  |    22590    |    20800    |      0      |      0      |       12        |     1600      |       0       |       0       |        0        |       33       |       0        |      157       |        0        |        0        |      0      |      0      |    2646     |
| 00:55:42 |  0  |    22579    |    20786    |      0      |      0      |        4        |     1599      |       0       |       0       |        0        |       55       |       0        |      139       |        0        |        0        |      0      |      0      |    2730     |
| 00:55:43 |  0  |    22556    |    20772    |      0      |      0      |       12        |     1598      |       0       |       0       |        0        |       48       |       0        |      138       |        0        |        0        |      0      |      0      |    2604     |
| 00:55:44 |  0  |    22594    |    20800    |      0      |      0      |       13        |     1600      |       0       |       0       |        0        |       43       |       0        |      151       |        0        |        0        |      0      |      0      |    2716     |
| 00:55:45 |  0  |    22557    |    20772    |      0      |      0      |        2        |     1598      |       0       |       0       |        0        |       36       |       0        |      151       |        0        |        0        |      0      |      0      |    2618     |
| 00:55:46 |  0  |    22582    |    20786    |      0      |      0      |        5        |     1599      |       0       |       0       |        0        |       46       |       0        |      151       |        0        |        0        |      0      |      0      |    2758     |
| 00:55:47 |  0  |    22568    |    20786    |      0      |      0      |        4        |     1599      |       0       |       0       |        0        |       44       |       0        |      139       |        0        |        0        |      0      |      0      |    2562     |
| 00:55:48 |  0  |    22595    |    20800    |      0      |      0      |       13        |     1601      |       0       |       0       |        0        |       46       |       0        |      148       |        0        |        0        |      0      |      0      |    2716     |
| 00:55:49 |  0  |    22589    |    20803    |      0      |      0      |        2        |     1600      |       0       |       0       |        0        |       42       |       0        |      144       |        0        |        0        |      0      |      0      |    2604     |
