Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 14:12:13 |  0  |     505     |     271     |      0      |     11      |        6        |      21       |       0       |       0       |        3        |       6        |       0        |      196       |        0        |        0        |      0      |      0      |    2828     |
| 14:12:14 |  0  |     398     |     236     |      0      |      2      |        4        |      17       |       0       |       0       |        4        |       5        |       0        |      138       |        0        |        0        |      0      |      0      |    2002     |
| 14:12:15 |  0  |     811     |     622     |      0      |     10      |       10        |      46       |       0       |       0       |        5        |       2        |       0        |      131       |        0        |        0        |      0      |      0      |    1862     |
| 14:12:16 |  0  |     349     |     218     |      0      |      4      |        5        |      16       |       0       |       0       |        4        |       3        |       0        |      108       |        0        |        0        |      0      |      0      |    1540     |
| 14:12:17 |  0  |     314     |     178     |      0      |      4      |        1        |      13       |       0       |       0       |        1        |       4        |       0        |      115       |        0        |        0        |      0      |      0      |    1666     |
| 14:12:18 |  0  |     571     |     421     |      0      |      7      |        4        |      32       |       0       |       0       |        2        |       1        |       0        |      110       |        0        |        0        |      0      |      0      |    1568     |
| 14:12:19 |  0  |     504     |     349     |      0      |      1      |        1        |      25       |       0       |       0       |        1        |       2        |       0        |      127       |        0        |        0        |      0      |      0      |    1806     |
| 14:12:20 |  0  |     767     |     598     |      0      |      4      |        8        |      44       |       0       |       0       |        4        |       5        |       0        |      116       |        0        |        0        |      0      |      0      |    1694     |
| 14:12:21 |  0  |     572     |     439     |      0      |      1      |        9        |      33       |       0       |       0       |        5        |       7        |       0        |       92       |        0        |        0        |      0      |      0      |    1386     |
| 14:12:22 |  0  |     333     |     224     |      0      |      0      |        5        |      16       |       0       |       0       |        2        |       2        |       0        |       91       |        0        |        0        |      0      |      0      |    1302     |
| 14:12:23 |  0  |     293     |     166     |      0      |      2      |        2        |      12       |       0       |       0       |        2        |       2        |       0        |      111       |        0        |        0        |      0      |      0      |    1582     |
| 14:12:24 |  0  |     435     |     321     |      0      |      1      |        6        |      23       |       0       |       0       |        2        |       1        |       0        |       89       |        0        |        0        |      0      |      0      |    1260     |
| 14:12:25 |  0  |     975     |     780     |      0      |      4      |        7        |      56       |       0       |       0       |        3        |       6        |       0        |      129       |        0        |        0        |      0      |      0      |    1890     |
| 14:12:26 |  0  |     394     |     264     |      0      |      2      |        1        |      19       |       0       |       0       |        1        |       1        |       0        |      108       |        0        |        0        |      0      |      0      |    1526     |
| 14:12:27 |  0  |     471     |     359     |      0      |      5      |        3        |      26       |       0       |       0       |        1        |       1        |       0        |       80       |        0        |        0        |      0      |      0      |    1134     |
| 14:12:28 |  0  |     572     |     418     |      0      |      2      |        2        |      30       |       0       |       0       |        0        |       2        |       0        |      120       |        0        |        0        |      0      |      0      |    1708     |
| 14:12:29 |  0  |     574     |     433     |      0      |      1      |        4        |      31       |       0       |       0       |        2        |       5        |       0        |      104       |        0        |        0        |      0      |      0      |    1526     |
| 14:12:30 |  0  |     478     |     350     |      0      |      0      |       10        |      25       |       0       |       0       |        2        |       3        |       0        |      100       |        0        |        0        |      0      |      0      |    1442     |
| 14:12:31 |  0  |     639     |     530     |      0      |      2      |        8        |      37       |       0       |       0       |        2        |       3        |       0        |       67       |        0        |        0        |      0      |      0      |     980     |
| 14:12:32 |  0  |     519     |     358     |      0      |      5      |        6        |      26       |       0       |       0       |        4        |       4        |       0        |      126       |        0        |        0        |      0      |      0      |    1820     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 14:12:33 |  0  |     487     |     350     |      0      |      2      |       10        |      27       |       0       |       0       |        6        |       6        |       0        |      102       |        0        |        0        |      0      |      0      |    1512     |
| 14:12:34 |  0  |     887     |     708     |      0      |      3      |        7        |      51       |       0       |       0       |        4        |       9        |       0        |      116       |        0        |        0        |      0      |      0      |    1750     |
| 14:12:36 |  0  |     628     |     475     |      0      |      1      |        3        |      34       |       0       |       0       |        3        |       6        |       0        |      112       |        0        |        0        |      0      |      0      |    1652     |
| 14:12:37 |  0  |     710     |     593     |      0      |      4      |        5        |      44       |       0       |       0       |        4        |       3        |       0        |       66       |        0        |        0        |      0      |      0      |     966     |
| 14:12:38 |  0  |     437     |     322     |      0      |      0      |        3        |      23       |       0       |       0       |        3        |       3        |       0        |       89       |        0        |        0        |      0      |      0      |    1288     |
| 14:12:39 |  0  |     575     |     406     |      0      |      0      |        7        |      29       |       0       |       0       |        5        |       3        |       0        |      137       |        0        |        0        |      0      |      0      |    1960     |
| 14:12:40 |  0  |     684     |     544     |      0      |      1      |        7        |      39       |       0       |       0       |        2        |       5        |       0        |       95       |        0        |        0        |      0      |      0      |    1400     |
| 14:12:41 |  0  |     287     |     154     |      0      |      1      |        6        |      12       |       0       |       0       |        2        |       2        |       0        |      118       |        0        |        0        |      0      |      0      |    1680     |
| 14:12:42 |  0  |     477     |     328     |      0      |      0      |        6        |      23       |       0       |       1       |        2        |       7        |       0        |      118       |        0        |        0        |      0      |      0      |    1750     |
| 14:12:43 |  0  |     467     |     324     |      0      |      4      |        5        |      24       |       0       |       0       |        3        |       1        |       0        |      114       |        0        |        0        |      0      |      0      |    1610     |
| 14:12:44 |  0  |     418     |     265     |      0      |      2      |        4        |      20       |       0       |       0       |        3        |       5        |       0        |      126       |        0        |        0        |      0      |      0      |    1834     |
| 14:12:45 |  0  |     840     |     660     |      0      |      0      |       11        |      48       |       0       |       0       |        2        |       4        |       0        |      128       |        0        |        0        |      0      |      0      |    1848     |
| 14:12:46 |  0  |     568     |     418     |      0      |      2      |        4        |      30       |       0       |       0       |        2        |       2        |       0        |      116       |        0        |        0        |      0      |      0      |    1652     |
| 14:12:47 |  0  |     614     |     451     |      0      |      3      |        2        |      33       |       0       |       0       |        1        |       1        |       0        |      126       |        0        |        0        |      0      |      0      |    1778     |
| 14:12:48 |  0  |     852     |     692     |      0      |      8      |        8        |      50       |       0       |       0       |        4        |       0        |       0        |      102       |        0        |        0        |      0      |      0      |    1428     |
| 14:12:49 |  0  |     958     |     774     |      0      |      5      |       12        |      58       |       0       |       0       |        5        |       5        |       0        |      116       |        0        |        0        |      0      |      0      |    1694     |
| 14:12:50 |  0  |     769     |     621     |      0      |      2      |        6        |      44       |       0       |       0       |        2        |       8        |       0        |       94       |        0        |        0        |      0      |      0      |    1428     |
| 14:12:51 |  0  |     765     |     612     |      0      |      3      |        9        |      44       |       0       |       0       |        5        |       4        |       0        |      102       |        0        |        0        |      0      |      0      |    1484     |
| 14:12:52 |  0  |     851     |     698     |      0      |      1      |        6        |      52       |       0       |       0       |        5        |       4        |       0        |       96       |        0        |        0        |      0      |      0      |    1400     |
| 14:12:53 |  0  |     596     |     441     |      0      |      5      |        5        |      32       |       0       |       0       |        4        |       0        |       0        |      118       |        0        |        0        |      0      |      0      |    1652     |
