1.0,100.0,0,100.0,6.0
5.0,100.0,0,100.0,7.0
6.0,100.0,0,100.0,5.0
8.0,100.0,0,100.0,5.0
9.0,100.0,0,100.0,6.0
10.0,100.0,0,100.0,7.0
13.0,100.0,0,100.0,7.0
16.0,100.0,0,100.0,10.0
17.0,100.0,0,100.0,3.0
18.0,10.0,0,100.0,9.0,100.0,4.0
20.0,100.0,0,100.0,6.0
21.0,100.0,0,100.0,2.0
24.0,100.0,0,100.0,6.0
27.0,100.0,0,100.0,1.0
29.0,100.0,0,100.0,2.0
30.0,100.0,0,100.0,1.0
35.0,100.0,0,100.0,3.0
38.0,100.0,0,100.0,1.0
40.0,100.0,0,100.0,2.0
41.0,100.0,0,100.0,4.0
42.0,100.0,0,100.0,3.0
43.0,100.0,0,100.0,2.0
45.0,100.0,0,100.0,2.0
47.0,100.0,0,100.0,1.0
48.0,100.0,0,100.0,7.0
54.0,100.0,0,100.0,1.0
55.0,100.0,0,100.0,2.0
56.0,100.0,0,100.0,1.0
57.0,100.0,0,100.0,2.0
61.0,100.0,0,100.0,3.0
63.0,100.0,0,100.0,1.0
64.0,100.0,0,100.0,2.0,10.0,3.0
70.0,100.0,0,100.0,2.0
73.0,100.0,0,100.0,3.0
76.0,100.0,0,100.0,9.0
77.0,100.0,0,100.0,3.0
78.0,100.0,0,100.0,7.0
79.0,100.0,0,100.0,4.0,10.0,4.0,10.0,1.0
82.0,10.0,0,100.0,5.0,100.0,6.0,10.0,4.0
83.0,100.0,0,100.0,4.0
