O-DU_ID,O-DU
1,690407114
2,690458657
3,690459122
4,690459980
5,690461070
6,690463014
7,692131680
8,692374523
9,692574816
10,692904158
11,1013177182
12,1014454465
13,1014454490
14,1014454570
15,1014510071
16,1014779046
17,1016874984
18,1016903836
19,1017043407
