690458193,50,0,1006912484,100,4,1014424248,100,5,1014459653,100,2,1016648135,100,0
690469349,40,0,1014459661,100,2,1016091610,100,6,1016185631,100,5,1016648151,100,5
690469608,100,0,1006773581,100,7,1015839611,60,36,1016162623,90,8,1016185615,100,4
692374558,100,0,1015805130,100,6,1015827222,100,5,1015839638,100,6,1016558292,50,28
1006551279,50,0,690458215,100,22,1014459637,100,4,1015839620,100,3,1016185640,100,10
1006796131,100,0,690392931,100,5,690458282,50,4,1015838097,100,5,1016162631,100,4
1008139723,100,0,690425589,100,1,1014459645,100,0,1015930155,50,5,1015930163,100,4
1016081844,100,0,690458410,100,5,1014755996,100,3,1015881812,100,2,1016193065,50,16
1016091866,100,0,1015827230,80,4,1015930384,90,5,1016081836,80,14,1016267050,100,3
1016185607,40,0,690469802,100,4,690472781,100,4,692575030,100,3,1014476426,100,4
1016185623,50,0,1006009814,50,4,1014291833,100,5,1016091564,100,5,1016091904,70,42
1016192743,90,0,690469675,50,3,692341420,50,4,692430920,40,14,1014459629,50,4
1016193073,40,0,690458339,40,20,690469322,40,7,1014459610,40,23,1015930147,40,35
1016316493,100,0,692374507,50,10,1005523484,100,3,1016316507,100,2,1016361430,100,3
1016660461,100,0,690408668,50,5,692575006,100,3,1016154221,100,10,1016648143,100,11
