NumEstacao,Lat,Lon,bandwidth,N_Latitude,N_Longitude,Latitudes,Longitudes,N_Designacoes,Designacoes,N_Setores,Setores
690393156,-1.46312,-48.47894,100,1,1,-1.46312,-48.47894,1,100MG7W,3,0;120;240
690394268,-1.42683,-48.45574,100,1,1,-1.42683,-48.45574,1,100MG7W,3,140;20;300
690399626,-1.45019,-48.48836,90,1,1,-1.45019,-48.48836,1,90M0G7W,3,0;120;240
690405014,-1.44044,-48.4854,70,1,1,-1.44044,-48.4854,1,70M0G7W,3,140;20;250
690407114,-1.45433,-48.48589,80,1,1,-1.45433,-48.48589,1,80M0G7W,3,150;270;30
690408617,-1.43172,-48.44692,100,1,1,-1.43172,-48.44692,1,100MG7W,3,140;270;30
690458657,-1.46143,-48.47064,90,1,1,-1.46143,-48.47064,1,90M0G7W,3,150;270;30
690458665,-1.44639,-48.49444,100,1,1,-1.44639,-48.49444,1,100MG7W,3,150;280;50
690458991,-1.44694,-48.47781,100,1,1,-1.44694,-48.47781,1,100MG7W,3,0;140;250
690459025,-1.45242,-48.46722,80,1,1,-1.45242,-48.46722,1,80M0G7W,3,0;140;260
690459076,-1.43508,-48.47346,100,1,1,-1.43508,-48.47346,1,100MG7W,3,0;120;240
690459122,-1.43,-48.48306,100,1,1,-1.43,-48.48306,1,100MG7W,3,0;120;240
690459149,-1.43944,-48.46556,90,1,1,-1.43944,-48.46556,1,90M0G7W,3,100;210;350
690459238,-1.43778,-48.45778,40,1,1,-1.43778,-48.45778,1,40M0G7W,3,140;20;260
690459246,-1.42802,-48.46162,90,1,1,-1.42802,-48.46162,1,90M0G7W,3,180;300;60
690459980,-1.42306,-48.46832,100,1,1,-1.42306,-48.46832,1,100MG7W,3,10;140;270
690461062,-1.41916,-48.47733,90,1,1,-1.41916,-48.47733,1,90M0G7W,3,0;120;260
690461070,-1.41306,-48.46806,90,1,1,-1.41306,-48.46806,1,90M0G7W,3,140;270;30
690461399,-1.41799,-48.44876,100,1,1,-1.41799,-48.44876,1,100MG7W,3,0;120;240
690462980,-1.45444,-48.47305,40,1,1,-1.45444,-48.47305,1,40M0G7W,3,100;220;340
690463014,-1.438,-48.49188,100,1,1,-1.438,-48.49188,1,100MG7W,3,200;330;80
690463030,-1.43696,-48.48798,90,1,1,-1.43696,-48.48798,1,90M0G7W,3,200;330;80
690463464,-1.4483,-48.46168,100,1,1,-1.4483,-48.46168,1,100MG7W,3,150;290;50
690463910,-1.4425,-48.47305,90,1,1,-1.4425,-48.47305,1,90M0G7W,3,0;120;240
690463995,-1.4425,-48.48805,100,1,1,-1.4425,-48.48805,1,100MG7W,3,140;20;280
690464010,-1.44647,-48.47159,50,1,1,-1.44647,-48.47159,1,50M0G7W,3,180;300;60
690477090,-1.42386,-48.48739,100,1,1,-1.42386,-48.48739,1,100MG7W,3,0;120;240
690507534,-1.45839,-48.45718,100,1,1,-1.45839,-48.45718,1,100MG7W,3,0;120;240
690507615,-1.4488,-48.44916,80,1,1,-1.4488,-48.44916,1,80M0G7W,3,150;250;340
692131680,-1.44611,-48.48917,100,1,1,-1.44611,-48.48917,1,100MG7W,1,0
692257306,-1.43395,-48.46507,100,1,1,-1.43395,-48.46507,1,100MG7W,3,0;120;240
692257349,-1.45187,-48.48085,80,1,1,-1.45187,-48.48085,1,80M0G7W,3,200;300;80
692374523,-1.44573,-48.48381,100,1,1,-1.44573,-48.48381,1,100MG7W,3,120;220;30
692409572,-1.4584,-48.4778,100,1,1,-1.4584,-48.4778,1,100MG7W,3,150;270;30
692549935,-1.42124,-48.46424,100,1,1,-1.42124,-48.46424,1,100MG7W,3,190;310;80
692559027,-1.43861,-48.48048,90,1,1,-1.43861,-48.48048,1,90M0G7W,3,0;120;240
692559043,-1.42928,-48.47512,100,1,1,-1.42928,-48.47512,1,100MG7W,3,190;310;70
692574816,-1.44582,-48.45593,100,1,1,-1.44582,-48.45593,1,100MG7W,3,120;250;350
692641890,-1.41726,-48.47259,50,1,1,-1.41726,-48.47259,1,50M0G7W,3,200;330;80
692904158,-1.44006,-48.44818,90,1,1,-1.44006,-48.44818,1,90M0G7W,3,200;310;50
1005347597,-1.43041,-48.48833,100,1,1,-1.43041,-48.48833,1,100MG7W,3,170;290;50
1005347600,-1.42239,-48.47931,100,1,1,-1.42239,-48.47931,1,100MG7W,3,150;270;30
1005953152,-1.41517,-48.44294,70,1,1,-1.41517,-48.44294,1,70M0G7W,3,140;300;40
1006658162,-1.41125,-48.48514,100,1,1,-1.41125,-48.48514,1,100MG7W,3,180;300;80
1008139715,-1.42182,-48.45672,80,1,1,-1.42182,-48.45672,1,80M0G7W,1,0
1008239507,-1.45059,-48.48898,100,1,1,-1.45059,-48.48898,1,100MG7W,1,0
1012758866,-1.42579,-48.45039,100,1,1,-1.42579,-48.45039,1,100MG7W,3,10;110;220
1013042279,-1.46165,-48.46395,100,1,1,-1.46165,-48.46395,1,100MG7W,3,0;120;240
1013177182,-1.43317,-48.45592,100,1,1,-1.43317,-48.45592,1,100MG7W,3,150;270;50
1014370156,-1.4464,-48.4582,100,1,1,-1.4464,-48.4582,1,100MG7W,3,0;150;270
1014424388,-1.44812,-48.48244,100,1,1,-1.44812,-48.48244,1,100MG7W,3,150;260;40
1014447060,-1.43412,-48.48368,70,1,1,-1.43412,-48.48368,1,70M0G7W,3,180;280;70
1014447078,-1.45253,-48.47107,100,1,1,-1.45253,-48.47107,1,100MG7W,3,150;290;30
1014454465,-1.45065,-48.46317,100,1,1,-1.45065,-48.46317,1,100MG7W,3,150;270;30
1014454490,-1.43316,-48.4704,80,1,1,-1.43316,-48.4704,1,80M0G7W,3,160;280;40
1014454503,-1.44885,-48.47727,100,1,1,-1.44885,-48.47727,1,100MG7W,3,170;270;80
1014454511,-1.45885,-48.4853,90,1,1,-1.45885,-48.4853,1,90M0G7W,3,190;300;60
1014454554,-1.42517,-48.48297,100,1,1,-1.42517,-48.48297,1,100MG7W,3,0;120;240
1014454562,-1.42636,-48.47039,100,1,1,-1.42636,-48.47039,1,100MG7W,3,150;270;30
1014454570,-1.41428,-48.47777,100,1,1,-1.41428,-48.47777,1,100MG7W,3,140;20;260
1014459696,-1.45316,-48.48194,100,1,1,-1.45316,-48.48194,1,100MG7W,3,180;290;80
1014510071,-1.44424,-48.47055,100,1,1,-1.44424,-48.47055,1,100MG7W,3,120;20;260
1014510098,-1.44216,-48.44783,100,1,1,-1.44216,-48.44783,1,100MG7W,3,180;270;50
1014510101,-1.43683,-48.45467,100,1,1,-1.43683,-48.45467,1,100MG7W,3,160;300;60
1014779046,-1.41551,-48.48732,100,1,1,-1.41551,-48.48732,1,100MG7W,3,150;260;30
1015421706,-1.44227,-48.46186,80,1,1,-1.44227,-48.46186,1,80M0G7W,3,150;260;30
1016648160,-1.4319,-48.45509,100,1,1,-1.4319,-48.45509,1,100MG7W,1,0
1016660429,-1.41636,-48.47933,100,1,1,-1.41636,-48.47933,1,100MG7W,1,0
1016689150,-1.44685,-48.48821,100,1,1,-1.44685,-48.48821,1,100MG7W,3,0;120;260
1016689168,-1.44646,-48.46643,50,1,1,-1.44646,-48.46643,1,50M0G7W,3,200;320;60
1016689176,-1.43663,-48.49232,100,1,1,-1.43663,-48.49232,1,100MG7W,1,1
1016785078,-1.4055,-48.46844,100,1,1,-1.4055,-48.46844,1,100MG7W,3,10;130;250
1016874984,-1.41772,-48.44291,100,1,1,-1.41772,-48.44291,1,100MG7W,3,200;300;50
1016903836,-1.45155,-48.47469,100,1,1,-1.45155,-48.47469,1,100MG7W,3,0;120;240
1016904905,-1.4139,-48.45998,90,1,1,-1.4139,-48.45998,1,90M0G7W,3,110;220;320
1016904921,-1.41975,-48.45606,100,1,1,-1.41975,-48.45606,1,100MG7W,3,10;130;250
1016904930,-1.42236,-48.47416,100,1,1,-1.42236,-48.47416,1,100MG7W,3,180;300;60
1016912185,-1.44177,-48.49404,70,1,1,-1.44177,-48.49404,1,70M0G7W,3,0;110;230
1016925473,-1.40811,-48.47587,100,1,1,-1.40811,-48.47587,1,100MG7W,3,10;130;250
1016925503,-1.41524,-48.46452,100,1,1,-1.41524,-48.46452,1,100MG7W,3,10;120;240
1016963634,-1.42465,-48.44332,40,1,1,-1.42465,-48.44332,1,40M0G7W,2,100;250
1017043407,-1.42278,-48.45533,100,1,1,-1.42278,-48.45533,1,100MG7W,3,10;130;250
1017366087,-1.42513,-48.45251,90,1,1,-1.42513,-48.45251,1,90M0G7W,3,0;120;240
