id,Lat,Lon,bandwidth,N_Latitude,N_Longitude,Latitudes,Longitudes,N_Designacoes,Designacoes,N_Setores,Setores
1,-22.96702,-43.04346,100,1,1,-22.96702,-43.04346,1,100MG7W,3,200;300;90
2,-22.96326,-43.03191,100,1,1,-22.96326,-43.03191,1,100MG7W,3,100;180;350
3,-22.95739,-43.02975,100,1,1,-22.95739,-43.02975,1,100MG7W,3,185;280;30
4,-22.9538,-43.07564,100,1,1,-22.9538,-43.07564,1,100MG7W,2,120;270
5,-22.95233,-43.06231,100,1,1,-22.95233,-43.06231,1,100MG7W,4,140;210;280;30
6,-22.95183,-43.09719,100,1,1,-22.95183,-43.09719,1,100MG7W,3,10;100;260
7,-22.9508,-43.0871,100,1,1,-22.9508,-43.0871,1,100MG7W,2,110;265
8,-22.94878,-43.05708,100,1,1,-22.94878,-43.05708,1,100MD7W,3,220;30;320
9,-22.94744,-43.02786,100,1,1,-22.94744,-43.02786,1,100MG7W,3,150;270;350
10,-22.9458,-43.0342,100,1,1,-22.9458,-43.0342,1,100MG7W,3,150;260;30
11,-22.94186,-43.04716,100,1,1,-22.94186,-43.04716,1,100MG7W,2,275;60
12,-22.94055,-43.05635,100,1,1,-22.94055,-43.05635,1,100MG7W,3,15;195;270
13,-22.93981,-43.02252,100,1,1,-22.93981,-43.02252,1,100MD7W,3,100;200;300
14,-22.9339,-43.01144,100,1,1,-22.9339,-43.01144,1,100MG7W,3,220;5;90
15,-22.93338,-43.06983,100,1,1,-22.93338,-43.06983,1,100MG7W,3,120;220;45
16,-22.92771,-43.11887,100,1,1,-22.92771,-43.11887,1,100MG7W,2,120;280
17,-22.91945,-43.09373,100,1,1,-22.91945,-43.09373,1,100MG7W,3,140;310;55
18,-22.918,-43.065,10,1,1,-22.918,-43.065,2,100MG7W;10M0G7W,3,180;280;30
19,-22.91621,-43.08928,100,1,1,-22.91621,-43.08928,1,100MG7W,3,170;300;50
20,-22.9144,-43.09542,100,1,1,-22.9144,-43.09542,1,100MG7W,3,160;270;80
21,-22.91434,-43.10503,100,1,1,-22.91434,-43.10503,1,100MG7W,3,260;340;80
22,-22.9118,-43.1092,100,1,1,-22.9118,-43.1092,1,100MG7W,3,0;100;300
23,-22.91127,-43.06607,100,1,1,-22.91127,-43.06607,1,100MG7W,3,150;290;50
24,-22.91111,-43.07298,100,1,1,-22.91111,-43.07298,1,100MD7W,2,240;70
25,-22.9111,-43.1046,100,1,1,-22.9111,-43.1046,1,100MG7W,3,100;235;310
26,-22.9094,-43.10788,100,1,1,-22.9094,-43.10788,1,100MG7W,3,160;225;45
27,-22.9078,-43.1114,100,1,1,-22.9078,-43.1114,1,100MG7W,3,140;310;50
28,-22.90721,-43.11019,100,1,1,-22.90721,-43.11019,1,100MG7W,1,0
29,-22.9072,-43.1033,100,1,1,-22.9072,-43.1033,1,100MG7W,3,140;315;50
30,-22.90703,-43.10897,100,1,1,-22.90703,-43.10897,1,100MG7W,3,180;330;40
31,-22.90591,-43.1314,100,1,1,-22.90591,-43.1314,1,100MG7W,2,140;45
32,-22.9056,-43.1122,100,1,1,-22.9056,-43.1122,1,100MG7W,2,150;260
33,-22.90553,-43.08979,100,1,1,-22.90553,-43.08979,1,100MG7W,3,100;190;260
34,-22.90461,-43.05195,100,1,1,-22.90461,-43.05195,1,100MG7W,3,170;260;30
35,-22.90432,-43.09689,100,1,1,-22.90432,-43.09689,1,100MG7W,3,100;240;310
36,-22.9043,-43.1005,100,1,1,-22.9043,-43.1005,1,100MG7W,3,105;230;310
