id,Lat,Lon,bandwidth,N_Latitude,N_Longitude,Latitudes,Longitudes,N_Designacoes,Designacoes,N_Setores,Setores
1,-8.83881,-63.9369,100,1,1,-8.83881,-63.9369,1,100MG7W,3,210;310;45
2,-8.81483,-63.83199,100,1,1,-8.81483,-63.83199,1,100MG7W,3,160;260;50
3,-8.81088,-63.80999,100,1,1,-8.81088,-63.80999,1,100MG7W,3,190;290;60
4,-8.8085,-63.88245,100,1,1,-8.8085,-63.88245,1,100MG7W,3,110;210;340
5,-8.80743,-63.86327,100,1,1,-8.80743,-63.86327,1,100MG7W,3,220;310;90
6,-8.80691,-63.73696,100,1,1,-8.80691,-63.73696,1,100MG7W,3,140;290;40
7,-8.80544,-63.89639,100,1,1,-8.80544,-63.89639,1,100MG7W,3,10;140;260
8,-8.80067,-63.877,100,1,1,-8.80067,-63.877,1,100MG7W,3,240;340;80
9,-8.79958,-63.86349,100,1,1,-8.79958,-63.86349,1,100MG7W,3,180;350;90
10,-8.79824,-63.88571,100,1,1,-8.79824,-63.88571,1,100MG7W,3,125;275;35
11,-8.79428,-63.8956,50,1,1,-8.79428,-63.8956,1,50M0G7W,3,0;120;240
12,-8.7923,-63.87389,100,1,1,-8.7923,-63.87389,1,100MG7W,3,0;120;240
13,-8.7916,-63.88946,100,1,1,-8.7916,-63.88946,1,100MG7W,3,150;250;40
14,-8.78979,-63.88094,50,1,1,-8.78979,-63.88094,1,50M0G7W,3,120;20;270
15,-8.78862,-63.86528,100,1,1,-8.78862,-63.86528,1,100MG7W,3,120;240;30
16,-8.78363,-63.84725,50,1,1,-8.78363,-63.84725,1,50M0G7W,3,0;120;240
17,-8.78352,-63.83903,100,1,1,-8.78352,-63.83903,1,100MG7W,3,180;275;85
18,-8.78302,-63.86852,100,1,1,-8.78302,-63.86852,1,100MG7W,3,0;140;260
19,-8.78226,-63.89164,100,1,1,-8.78226,-63.89164,1,100MG7W,3,10;185;310
20,-8.7799,-63.88096,100,1,1,-8.7799,-63.88096,1,100MG7W,3,155;240;345
21,-8.77863,-63.82787,100,1,1,-8.77863,-63.82787,1,100MG7W,3,0;140;260
22,-8.77784,-63.90446,100,1,1,-8.77784,-63.90446,1,100MG7W,3,150;300;60
23,-8.77744,-63.81616,50,1,1,-8.77744,-63.81616,1,50M0G7W,3,150;20;290
24,-8.77465,-63.85177,100,1,1,-8.77465,-63.85177,1,100MG7W,3,10;110;250
25,-8.77417,-63.89083,100,1,1,-8.77417,-63.89083,1,100MG7W,3,120;260;350
26,-8.77381,-63.83309,50,1,1,-8.77381,-63.83309,1,50M0G7W,3,220;330;90
27,-8.77317,-63.90339,100,1,1,-8.77317,-63.90339,1,100MG7W,3,210;340;95
