Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 14:48:52 |  0  |     485     |     318     |      0      |     16      |        3        |      22       |       0       |       1       |        3        |       3        |       0        |      125       |        0        |        0        |      0      |      0      |    1792     |
| 14:48:53 |  0  |    1111     |     916     |      0      |      8      |       12        |      64       |       0       |       2       |        6        |       6        |       0        |      115       |        0        |        0        |      0      |      0      |    1694     |
| 14:48:54 |  0  |     723     |     600     |      0      |      2      |        8        |      42       |       0       |       1       |        2        |       4        |       0        |       74       |        0        |        0        |      0      |      0      |    1092     |
| 14:48:55 |  0  |     709     |     557     |      0      |      1      |        8        |      40       |       0       |       1       |        4        |       5        |       0        |      105       |        0        |        0        |      0      |      0      |    1540     |
| 14:48:56 |  0  |     804     |     656     |      0      |      1      |        6        |      45       |       0       |       3       |        2        |       7        |       0        |       92       |        0        |        0        |      0      |      0      |    1386     |
| 14:48:57 |  0  |     537     |     413     |      0      |      4      |        5        |      30       |       0       |       0       |        2        |       0        |       0        |       90       |        0        |        0        |      0      |      0      |    1260     |
| 14:48:58 |  0  |     591     |     427     |      0      |      5      |        9        |      31       |       0       |       1       |        3        |       2        |       0        |      125       |        0        |        0        |      0      |      0      |    1778     |
| 14:48:59 |  0  |     618     |     448     |      0      |     16      |        7        |      32       |       0       |       3       |        3        |       8        |       0        |      111       |        0        |        0        |      0      |      0      |    1666     |
| 14:49:00 |  0  |     652     |     502     |      0      |      2      |        7        |      36       |       0       |       1       |        5        |       6        |       0        |      105       |        0        |        0        |      0      |      0      |    1554     |
| 14:49:01 |  0  |     820     |     670     |      0      |      3      |        9        |      50       |       0       |       0       |        1        |       2        |       0        |       95       |        0        |        0        |      0      |      0      |    1358     |
| 14:49:02 |  0  |     716     |     571     |      0      |      3      |        4        |      39       |       0       |       1       |        5        |       2        |       0        |      100       |        0        |        0        |      0      |      0      |    1428     |
| 14:49:03 |  0  |     686     |     531     |      0      |      1      |        2        |      39       |       0       |       0       |        1        |       3        |       0        |      112       |        0        |        0        |      0      |      0      |    1610     |
| 14:49:04 |  0  |     780     |     601     |      0      |     10      |        7        |      43       |       0       |       1       |        6        |       2        |       0        |      123       |        0        |        0        |      0      |      0      |    1750     |
| 14:49:05 |  0  |    1033     |     768     |      0      |     44      |        4        |      56       |       0       |       2       |        2        |       7        |       0        |      156       |        0        |        0        |      0      |      0      |    2282     |
| 14:49:06 |  0  |     755     |     587     |      0      |      1      |        5        |      43       |       0       |       0       |        2        |       6        |       0        |      118       |        0        |        0        |      0      |      0      |    1736     |
| 14:49:07 |  0  |     711     |     548     |      0      |      7      |        9        |      40       |       0       |       0       |        3        |       6        |       0        |      110       |        0        |        0        |      0      |      0      |    1624     |
| 14:49:08 |  0  |     778     |     614     |      0      |      1      |        4        |      44       |       0       |       0       |        3        |       3        |       0        |      116       |        0        |        0        |      0      |      0      |    1666     |
| 14:49:09 |  0  |     746     |     601     |      0      |      6      |       10        |      42       |       0       |       1       |        8        |       1        |       0        |       95       |        0        |        0        |      0      |      0      |    1344     |
| 14:49:10 |  0  |     669     |     489     |      0      |      7      |        4        |      37       |       0       |       0       |        2        |       4        |       0        |      132       |        0        |        0        |      0      |      0      |    1904     |
| 14:49:11 |  0  |     548     |     385     |      0      |      6      |        5        |      26       |       0       |       2       |        2        |       3        |       0        |      126       |        0        |        0        |      0      |      0      |    1806     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 14:49:12 |  0  |     824     |     673     |      0      |      1      |        4        |      50       |       0       |       0       |        2        |       2        |       0        |       98       |        0        |        0        |      0      |      0      |    1400     |
| 14:49:13 |  0  |     857     |     688     |      0      |      5      |        9        |      49       |       0       |       1       |        0        |       1        |       0        |      113       |        0        |        0        |      0      |      0      |    1596     |
| 14:49:14 |  0  |     834     |     657     |      0      |     15      |        2        |      47       |       0       |       1       |        2        |       3        |       0        |      111       |        0        |        0        |      0      |      0      |    1596     |
| 14:49:15 |  0  |     635     |     485     |      0      |      8      |        4        |      35       |       0       |       1       |        1        |       4        |       0        |      102       |        0        |        0        |      0      |      0      |    1484     |
| 14:49:16 |  0  |     765     |     597     |      0      |      5      |        4        |      42       |       0       |       1       |        2        |       6        |       0        |      114       |        0        |        0        |      0      |      0      |    1680     |
| 14:49:17 |  0  |     626     |     483     |      0      |      0      |        6        |      33       |       0       |       2       |        2        |       2        |       0        |      106       |        0        |        0        |      0      |      0      |    1512     |
| 14:49:18 |  0  |     950     |     782     |      0      |      5      |       14        |      56       |       0       |       0       |        6        |       3        |       0        |      104       |        0        |        0        |      0      |      0      |    1498     |
| 14:49:19 |  0  |     693     |     561     |      0      |      0      |        2        |      41       |       0       |       0       |        1        |       2        |       0        |       89       |        0        |        0        |      0      |      0      |    1274     |
| 14:49:20 |  0  |     470     |     349     |      0      |      1      |        7        |      24       |       0       |       1       |        3        |       4        |       0        |       91       |        0        |        0        |      0      |      0      |    1330     |
| 14:49:21 |  0  |     685     |     527     |      0      |      3      |        6        |      37       |       0       |       1       |        4        |       0        |       0        |      117       |        0        |        0        |      0      |      0      |    1638     |
| 14:49:22 |  0  |     889     |     729     |      0      |     15      |        8        |      51       |       0       |       2       |        6        |       2        |       0        |       90       |        0        |        0        |      0      |      0      |    1288     |
| 14:49:23 |  0  |     604     |     460     |      0      |      2      |        1        |      33       |       0       |       0       |        1        |       5        |       0        |      104       |        0        |        0        |      0      |      0      |    1526     |
| 14:49:24 |  0  |     526     |     386     |      0      |      6      |        7        |      28       |       0       |       0       |        5        |       1        |       0        |      105       |        0        |        0        |      0      |      0      |    1484     |
| 14:49:25 |  0  |     909     |     764     |      0      |      1      |        7        |      54       |       0       |       0       |        1        |       0        |       0        |       90       |        0        |        0        |      0      |      0      |    1260     |
| 14:49:26 |  0  |     840     |     669     |      0      |     20      |        7        |      48       |       0       |       2       |        4        |       0        |       0        |      101       |        0        |        0        |      0      |      0      |    1414     |
| 14:49:27 |  0  |    1044     |     798     |      0      |     42      |        3        |      53       |       0       |       7       |        1        |       2        |       0        |      142       |        0        |        0        |      0      |      0      |    2016     |
| 14:49:28 |  0  |     745     |     566     |      0      |      3      |        9        |      43       |       0       |       1       |        3        |       3        |       0        |      129       |        0        |        0        |      0      |      0      |    1848     |
| 14:49:29 |  0  |     683     |     520     |      0      |     26      |       10        |      37       |       0       |       2       |        4        |       2        |       0        |       96       |        0        |        0        |      0      |      0      |    1372     |
| 14:49:30 |  0  |     693     |     543     |      0      |      3      |        4        |      38       |       0       |       1       |        4        |       4        |       0        |      104       |        0        |        0        |      0      |      0      |    1512     |
| 14:49:31 |  0  |     793     |     651     |      0      |      2      |        7        |      49       |       0       |       0       |        4        |       4        |       0        |       87       |        0        |        0        |      0      |      0      |    1274     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 14:49:32 |  0  |     914     |     725     |      0      |     17      |        6        |      51       |       0       |       2       |        2        |       1        |       0        |      118       |        0        |        0        |      0      |      0      |    1666     |
| 14:49:33 |  0  |     806     |     622     |      0      |      8      |        4        |      46       |       0       |       0       |        1        |       3        |       0        |      127       |        0        |        0        |      0      |      0      |    1820     |
| 14:49:34 |  0  |     830     |     687     |      0      |      1      |        6        |      50       |       0       |       1       |        1        |       4        |       0        |       87       |        0        |        0        |      0      |      0      |    1274     |
| 14:49:35 |  0  |     520     |     374     |      0      |      5      |        5        |      27       |       0       |       0       |        4        |       3        |       0        |      111       |        0        |        0        |      0      |      0      |    1596     |
| 14:49:36 |  0  |     520     |     391     |      0      |      1      |        2        |      28       |       0       |       0       |        0        |       4        |       0        |       96       |        0        |        0        |      0      |      0      |    1400     |
| 14:49:37 |  0  |     568     |     447     |      0      |      1      |        5        |      32       |       0       |       0       |        5        |       4        |       0        |       84       |        0        |        0        |      0      |      0      |    1232     |
| 14:49:38 |  0  |     776     |     592     |      0      |     24      |        3        |      41       |       0       |       3       |        3        |       5        |       0        |      111       |        0        |        0        |      0      |      0      |    1624     |
| 14:49:39 |  0  |     840     |     670     |      0      |      2      |        8        |      49       |       0       |       0       |        3        |       7        |       0        |      112       |        0        |        0        |      0      |      0      |    1666     |
| 14:49:40 |  0  |     837     |     657     |      0      |     15      |        7        |      46       |       0       |       3       |        7        |       2        |       0        |      114       |        0        |        0        |      0      |      0      |    1624     |
| 14:49:41 |  0  |     765     |     601     |      0      |      6      |        9        |      42       |       0       |       2       |        3        |       2        |       0        |      112       |        0        |        0        |      0      |      0      |    1596     |
| 14:49:42 |  0  |     534     |     391     |      0      |      1      |        6        |      28       |       0       |       0       |        6        |       3        |       0        |      111       |        0        |        0        |      0      |      0      |    1596     |
| 14:49:43 |  0  |    1202     |     994     |      0      |     14      |        6        |      70       |       0       |       2       |        4        |       4        |       0        |      118       |        0        |        0        |      0      |      0      |    1708     |
| 14:49:44 |  0  |     775     |     644     |      0      |      2      |        7        |      48       |       0       |       0       |        2        |       2        |       0        |       79       |        0        |        0        |      0      |      0      |    1134     |
| 14:49:45 |  0  |     878     |     713     |      0      |      0      |        8        |      52       |       0       |       0       |        2        |       5        |       0        |      108       |        0        |        0        |      0      |      0      |    1582     |
| 14:49:46 |  0  |     979     |     824     |      0      |      9      |       12        |      60       |       0       |       0       |        5        |       2        |       0        |       84       |        0        |        0        |      0      |      0      |    1204     |
| 14:49:47 |  0  |     860     |     684     |      0      |     19      |        2        |      50       |       0       |       1       |        1        |       4        |       0        |      102       |        0        |        0        |      0      |      0      |    1484     |
| 14:49:48 |  0  |    1234     |     987     |      0      |     28      |       12        |      72       |       0       |       1       |        7        |       5        |       0        |      141       |        0        |        0        |      0      |      0      |    2044     |
| 14:49:49 |  0  |     941     |     763     |      0      |      5      |        8        |      53       |       0       |       2       |        6        |       4        |       0        |      114       |        0        |        0        |      0      |      0      |    1652     |
| 14:49:50 |  0  |    1339     |    1129     |      0      |      4      |       12        |      82       |       0       |       0       |        6        |       7        |       0        |      117       |        0        |        0        |      0      |      0      |    1736     |
| 14:49:51 |  0  |     864     |     691     |      0      |      6      |       11        |      49       |       0       |       1       |        4        |       6        |       0        |      111       |        0        |        0        |      0      |      0      |    1638     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 14:49:52 |  0  |     786     |     619     |      0      |      2      |        8        |      44       |       0       |       1       |        3        |       5        |       0        |      115       |        0        |        0        |      0      |      0      |    1680     |
| 14:49:53 |  0  |     811     |     614     |      0      |     28      |        8        |      43       |       0       |       3       |        3        |       1        |       0        |      122       |        0        |        0        |      0      |      0      |    1722     |
| 14:49:54 |  0  |     738     |     558     |      0      |      4      |        9        |      42       |       0       |       0       |        5        |       6        |       0        |      128       |        0        |        0        |      0      |      0      |    1876     |
| 14:49:55 |  0  |    1101     |     933     |      0      |      3      |        7        |      66       |       0       |       1       |        4        |       11       |       0        |       87       |        0        |        0        |      0      |      0      |    1372     |
| 14:49:56 |  0  |     675     |     544     |      0      |      2      |        6        |      40       |       0       |       0       |        4        |       3        |       0        |       86       |        0        |        0        |      0      |      0      |    1246     |
| 14:49:57 |  0  |     614     |     468     |      0      |      2      |        3        |      35       |       0       |       0       |        3        |       6        |       0        |      103       |        0        |        0        |      0      |      0      |    1526     |
| 14:49:58 |  0  |     680     |     528     |      0      |      2      |        2        |      38       |       0       |       0       |        2        |       8        |       0        |      104       |        0        |        0        |      0      |      0      |    1568     |
| 14:49:59 |  0  |     864     |     695     |      0      |     19      |        4        |      49       |       0       |       2       |        2        |       1        |       0        |       98       |        0        |        0        |      0      |      0      |    1386     |
| 14:50:00 |  0  |     807     |     636     |      0      |      8      |        4        |      45       |       0       |       1       |        2        |       4        |       0        |      113       |        0        |        0        |      0      |      0      |    1638     |
| 14:50:01 |  0  |     758     |     616     |      0      |      0      |        6        |      44       |       0       |       0       |        6        |       4        |       0        |       94       |        0        |        0        |      0      |      0      |    1358     |
| 14:50:02 |  0  |     634     |     484     |      0      |      6      |        3        |      36       |       0       |       0       |        1        |       1        |       0        |      107       |        0        |        0        |      0      |      0      |    1526     |
| 14:50:03 |  0  |    1036     |     840     |      0      |     13      |       16        |      62       |       0       |       1       |        7        |       2        |       0        |      118       |        0        |        0        |      0      |      0      |    1680     |
| 14:50:05 |  0  |     858     |     695     |      0      |     14      |        5        |      51       |       0       |       0       |        4        |       3        |       0        |       95       |        0        |        0        |      0      |      0      |    1372     |
| 14:50:06 |  0  |     769     |     608     |      0      |      0      |        6        |      45       |       0       |       1       |        2        |       5        |       0        |      110       |        0        |        0        |      0      |      0      |    1610     |
| 14:50:07 |  0  |    1031     |     866     |      0      |      9      |       11        |      63       |       0       |       1       |        3        |       6        |       0        |       86       |        0        |        0        |      0      |      0      |    1288     |
