state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1003280738,RUA 265-B,QD 114 LT 03 Nº 35,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,220,FB,,,760,,23.8,25,60,0,X,32,94692203257,263,-16.67223,-49.2358,G,2023-10-27,2016-09-30,,e97195f806507275,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1011245601,R 229,RUA 229  amp; RUA 239 NA FRENTE DE DROGARIA UNIVERSITÁRIA,GO,5208707,50M0G7W,NR,SA-NSA,,2325,2325,0,FB,,,760,72202203257,23.5,25,60,0,X,24,72202203257,50,-16.67548,-49.24768,G,2023-10-27,2020-10-05,,e97195f80650729b,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1011245601,R 229,RUA 229  amp; RUA 239 NA FRENTE DE DROGARIA UNIVERSITÁRIA,GO,5208707,50M0G7W,NR,SA-NSA,,2325,2325,180,FB,,,760,72202203257,23.5,25,60,0,X,24,72202203257,50,-16.67548,-49.24768,G,2023-10-27,2020-10-05,,e97195f80650729c,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1011245601,R 229,RUA 229  amp; RUA 239 NA FRENTE DE DROGARIA UNIVERSITÁRIA,GO,5208707,50M0G7W,NR,SA-NSA,,2325,2325,240,FB,,,760,72202203257,23.5,25,60,0,X,24,72202203257,50,-16.67548,-49.24768,G,2023-10-27,2020-10-05,,e97195f80650729d,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1011245601,R 229,RUA 229  amp; RUA 239 NA FRENTE DE DROGARIA UNIVERSITÁRIA,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,0,FB,,,760,,24.5,25,60,0,X,24,132842203257,223.8,-16.67548,-49.24768,G,2023-10-27,2020-10-05,,e97195f8065072a1,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1011245601,R 229,RUA 229  amp; RUA 239 NA FRENTE DE DROGARIA UNIVERSITÁRIA,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,180,FB,,,760,,24.5,25,60,0,X,24,132842203257,223.8,-16.67548,-49.24768,G,2023-10-27,2020-10-05,,e97195f8065072a2,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,1011245601,R 229,RUA 229  amp; RUA 239 NA FRENTE DE DROGARIA UNIVERSITÁRIA,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,240,FB,,,760,,24.5,25,60,0,X,24,132842203257,223.8,-16.67548,-49.24768,G,2023-10-27,2020-10-05,,e97195f8065072a3,2032-12-22,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,2826097,R DUZENTOS E TRINTA E NOVE,QUADRA 89-A - LOTE 28,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,350,FB,,,760,,24.5,25,60,0,X,18,132842203257,223.8,-16.676,-49.2477,G,2024-02-26,2003-03-06,,2bb795f81564a881,2041-12-08,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,2826097,R DUZENTOS E TRINTA E NOVE,QUADRA 89-A - LOTE 28,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,170,FB,,,760,,24.5,25,60,0,X,18,132842203257,223.8,-16.676,-49.2477,G,2024-02-26,2003-03-06,,2bb795f81564a882,2041-12-08,,,Goiânia
LIC-LIC-01,CLARO S.A.,50409889580,10,105752021,2826097,R DUZENTOS E TRINTA E NOVE,QUADRA 89-A - LOTE 28,GO,5208707,100MG7W,NR,SA-NSA,,3350,3350,290,FB,,,760,,24.5,25,60,0,X,18,132842203257,223.8,-16.676,-49.2477,G,2024-02-26,2003-03-06,,2bb795f81564a883,2041-12-08,,,Goiânia
