state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado,Municipio.NomeMunicipio
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1001306659,R FABIANA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,340,FB,,,760,,23.8,25,60,0,X,42,094692203257,263,-8.75081,-63.84847,G,2023-10-23,2015-03-31,,3f4af5f803d10ef3,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1001306659,R FABIANA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,130,FB,,,760,,23.8,25,60,-1,X,42,094692203257,263,-8.75081,-63.84847,G,2023-10-23,2015-03-31,,3f4af5f803d10ef4,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1001306659,R FABIANA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,260,FB,,,760,,23.8,25,60,0,X,42,094692203257,263,-8.75081,-63.84847,G,2023-10-23,2015-03-31,,3f4af5f803d10ef5,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1009011550,R ALÍPIO DA SILVA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,320,FB,,,760,,23.8,25,60,-2,X,40,094692203257,263,-8.75842,-63.85993,G,2023-10-27,2019-08-30,,3f4af5f803d10f05,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1009011550,R ALÍPIO DA SILVA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,120,FB,,,760,,23.8,25,60,-2,X,40,094692203257,263,-8.75842,-63.85993,G,2023-10-27,2019-08-30,,3f4af5f803d10f06,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1009011550,R ALÍPIO DA SILVA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,220,FB,,,760,,23.8,25,60,-2,X,40,094692203257,263,-8.75842,-63.85993,G,2023-10-27,2019-08-30,,3f4af5f803d10f07,2032-12-22,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1012353920,AV CALAMA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,315,FB,,,760,,23.8,25,60,-3,X,25,094692203257,263,-8.74691,-63.88266,G,2024-06-11,2021-09-21,,3f4af5f803d10f11,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1012353920,AV CALAMA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,70,FB,,,760,,23.8,25,60,0,X,25,094692203257,263,-8.74691,-63.88266,G,2024-06-11,2021-09-21,,3f4af5f803d10f12,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1012353920,AV CALAMA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,230,FB,,,760,,23.8,25,60,-3,X,25,094692203257,263,-8.74691,-63.88266,G,2024-06-11,2021-09-21,,3f4af5f803d10f13,2041-12-08,,,Porto Velho
LIC-LIC-01,CLARO S.A.,50409889580,010,105752021,1000839874,R GUANABARA,,RO,1100205,100MG7W,NR,SA-NSA,,3350,3350,350,FB,,,760,,25,25,60,0,X,26,116652103257,199.5,-8.75711,-63.89126,G,2023-10-23,2014-12-01,,3f4af5f803d10f32,2032-12-22,,,Porto Velho
