Running. Waiting for incoming packets...
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 11:56:33 |  0  |     941     |     817     |      0      |      1      |       13        |      58       |       0       |       1       |        5        |       2        |       0        |       62       |        0        |        0        |      0      |      0      |     896     |
| 11:56:34 |  0  |     435     |     322     |      0      |      0      |        4        |      23       |       0       |       0       |        4        |       3        |       0        |       87       |        0        |        0        |      0      |      0      |    1260     |
| 11:56:35 |  0  |     724     |     586     |      0      |      2      |        7        |      40       |       0       |       2       |        3        |       1        |       0        |       93       |        0        |        0        |      0      |      0      |    1316     |
| 11:56:36 |  0  |     503     |     391     |      0      |      1      |        4        |      29       |       0       |       0       |        2        |       1        |       0        |       81       |        0        |        0        |      0      |      0      |    1148     |
| 11:56:37 |  0  |     694     |     529     |      0      |      3      |        5        |      38       |       0       |       0       |        2        |       5        |       0        |      119       |        0        |        0        |      0      |      0      |    1736     |
| 11:56:38 |  0  |     621     |     457     |      0      |      4      |        6        |      34       |       0       |       0       |        2        |       4        |       0        |      122       |        0        |        0        |      0      |      0      |    1764     |
| 11:56:39 |  0  |     585     |     417     |      0      |     17      |       10        |      29       |       0       |       2       |        6        |       4        |       0        |      116       |        0        |        0        |      0      |      0      |    1680     |
| 11:56:40 |  0  |     819     |     652     |      0      |      6      |        1        |      47       |       0       |       0       |        1        |       1        |       0        |      113       |        0        |        0        |      0      |      0      |    1596     |
| 11:56:41 |  0  |     437     |     293     |      0      |      1      |        0        |      20       |       0       |       1       |        0        |       1        |       0        |      121       |        0        |        0        |      0      |      0      |    1708     |
| 11:56:42 |  0  |     362     |     252     |      0      |      0      |        1        |      17       |       0       |       1       |        1        |       3        |       0        |       89       |        0        |        0        |      0      |      0      |    1288     |
| 11:56:43 |  0  |     597     |     445     |      0      |      8      |        5        |      33       |       0       |       0       |        4        |       3        |       0        |      108       |        0        |        0        |      0      |      0      |    1554     |
| 11:56:44 |  0  |     707     |     577     |      0      |      0      |        9        |      42       |       0       |       1       |        3        |       1        |       0        |       86       |        0        |        0        |      0      |      0      |    1218     |
| 11:56:45 |  0  |     781     |     624     |      0      |     20      |        3        |      43       |       0       |       3       |        3        |       2        |       0        |       89       |        0        |        0        |      0      |      0      |    1274     |
| 11:56:46 |  0  |     936     |     778     |      0      |      6      |        4        |      53       |       0       |       3       |        4        |       1        |       0        |       95       |        0        |        0        |      0      |      0      |    1344     |
| 11:56:47 |  0  |     626     |     428     |      0      |      6      |        5        |      30       |       0       |       1       |        3        |       5        |       0        |      156       |        0        |        0        |      0      |      0      |    2254     |
| 11:56:48 |  0  |     388     |     238     |      0      |      0      |        3        |      17       |       0       |       0       |        3        |       5        |       0        |      128       |        0        |        0        |      0      |      0      |    1862     |
| 11:56:49 |  0  |     593     |     448     |      0      |      0      |        7        |      33       |       0       |       0       |        4        |       8        |       0        |      104       |        0        |        0        |      0      |      0      |    1568     |
| 11:56:50 |  0  |     439     |     307     |      0      |      7      |        5        |      23       |       0       |       1       |        3        |       0        |       0        |      101       |        0        |        0        |      0      |      0      |    1414     |
| 11:56:51 |  0  |     640     |     488     |      0      |      2      |        3        |      34       |       0       |       1       |        1        |       5        |       0        |      110       |        0        |        0        |      0      |      0      |    1610     |
| 11:56:52 |  0  |     686     |     536     |      0      |      6      |        5        |      39       |       0       |       0       |        5        |       4        |       0        |      101       |        0        |        0        |      0      |      0      |    1470     |
[1m|   TIME   | ID  |  RX_TOTAL   | RX_ON_TIME  |  RX_EARLY   |   RX_LATE   |   RX_SEQ_ERR    | RX_ON_TIME_C  |  RX_EARLY_C   |   RX_LATE_C   |  RX_SEQ_ERR_C   | RX_ON_TIME_C_U |  RX_EARLY_C_U  |  RX_LATE_C_U   | RX_SEQ_ERR_C_U  | RX_SEQ_ERR_PRACH | RX_CORRUPT  | RX_ERR_DROP |  TX_TOTAL   |
[0m| 11:56:53 |  0  |     556     |     417     |      0      |     13      |        5        |      27       |       0       |       4       |        4        |       1        |       0        |       94       |        0        |        0        |      0      |      0      |    1330     |
| 11:56:54 |  0  |     582     |     456     |      0      |      4      |        7        |      34       |       0       |       0       |        3        |       3        |       0        |       85       |        0        |        0        |      0      |      0      |    1232     |
| 11:56:55 |  0  |     682     |     553     |      0      |      2      |        5        |      40       |       0       |       1       |        2        |       3        |       0        |       83       |        0        |        0        |      0      |      0      |    1204     |
| 11:56:56 |  0  |     628     |     501     |      0      |      3      |        3        |      36       |       0       |       0       |        2        |       1        |       0        |       87       |        0        |        0        |      0      |      0      |    1232     |
| 11:56:57 |  0  |     815     |     613     |      0      |      3      |        3        |      45       |       0       |       0       |        2        |       4        |       0        |      150       |        0        |        0        |      0      |      0      |    2156     |
| 11:56:58 |  0  |     723     |     570     |      0      |      4      |        7        |      41       |       0       |       0       |        3        |       3        |       0        |      105       |        0        |        0        |      0      |      0      |    1512     |
| 11:56:59 |  0  |     641     |     490     |      0      |      0      |        7        |      34       |       0       |       2       |        4        |       5        |       0        |      110       |        0        |        0        |      0      |      0      |    1610     |
| 11:57:00 |  0  |     566     |     430     |      0      |      0      |       11        |      31       |       0       |       0       |        4        |       8        |       0        |       97       |        0        |        0        |      0      |      0      |    1470     |
| 11:57:01 |  0  |     307     |     186     |      0      |      2      |        2        |      13       |       0       |       0       |        1        |       5        |       0        |      101       |        0        |        0        |      0      |      0      |    1484     |
| 11:57:02 |  0  |     592     |     416     |      0      |      4      |        2        |      30       |       0       |       0       |        2        |       8        |       0        |      134       |        0        |        0        |      0      |      0      |    1988     |
| 11:57:03 |  0  |     967     |     803     |      0      |      9      |        6        |      57       |       0       |       1       |        4        |       6        |       0        |       91       |        0        |        0        |      0      |      0      |    1358     |
| 11:57:04 |  0  |     586     |     448     |      0      |      0      |        6        |      32       |       0       |       0       |        2        |       7        |       0        |       99       |        0        |        0        |      0      |      0      |    1484     |
| 11:57:05 |  0  |     936     |     794     |      0      |      2      |        4        |      56       |       0       |       1       |        1        |       4        |       0        |       79       |        0        |        0        |      0      |      0      |    1148     |
| 11:57:06 |  0  |     861     |     717     |      0      |      0      |        7        |      52       |       0       |       0       |        2        |       5        |       0        |       87       |        0        |        0        |      0      |      0      |    1302     |
| 11:57:07 |  0  |     528     |     413     |      0      |      4      |        4        |      29       |       0       |       0       |        2        |       1        |       0        |       81       |        0        |        0        |      0      |      0      |    1148     |
| 11:57:08 |  0  |     790     |     638     |      0      |      2      |       12        |      45       |       0       |       0       |        8        |       4        |       0        |      101       |        0        |        0        |      0      |      0      |    1470     |
| 11:57:09 |  0  |     696     |     540     |      0      |     13      |        5        |      39       |       0       |       2       |        2        |       1        |       0        |      101       |        0        |        0        |      0      |      0      |    1428     |
| 11:57:10 |  0  |     750     |     586     |      0      |      2      |        7        |      41       |       0       |       1       |        3        |       3        |       0        |      117       |        0        |        0        |      0      |      0      |    1680     |
| 11:57:11 |  0  |     524     |     376     |      0      |      2      |        1        |      26       |       0       |       1       |        1        |       3        |       0        |      116       |        0        |        0        |      0      |      0      |    1666     |
| 11:57:12 |  0  |     490     |     378     |      0      |      0      |        3        |      25       |       0       |       2       |        3        |       5        |       0        |       80       |        0        |        0        |      0      |      0      |    1190     |
